user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
GCA_003650025.1_ASM365002v1_genomic	d__Archaea;p__Thermoplasmatota;c__EX4484-6;o__EX4484-6;f__EX4484-36;g__EX4484-36;s__EX4484-36 sp002254765	GCA_002254765.1	95.0	d__Archaea;p__Thermoplasmatota;c__EX4484-6;o__EX4484-6;f__EX4484-36;g__EX4484-36;s__EX4484-36 sp002254765	98.98	0.826	GCA_002254765.1	95.0	d__Archaea;p__Thermoplasmatota;c__EX4484-6;o__EX4484-6;f__EX4484-36;g__EX4484-36;s__EX4484-36 sp002254765	98.98	0.826	d__Archaea;p__Thermoplasmatota;c__EX4484-6;o__EX4484-6;f__EX4484-36;g__EX4484-36;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_021160765.1, s__EX4484-36 sp021160765, 95.0, 78.35, 0.231	91.8	11	N/A	N/A
GCA_003650545.1_ASM365054v1_genomic	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__B72-G16;g__B72-G16;s__B72-G16 sp003650545	GCA_003650545.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__B72-G16;g__B72-G16;s__B72-G16 sp003650545	100.0	0.987	GCA_003650545.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__B72-G16;g__B72-G16;s__B72-G16 sp003650545	100.0	0.987	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	60.46	11	N/A	N/A
GCA_003650665.1_ASM365066v1_genomic	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B20-G17;g__B20-G17;s__B20-G17 sp003650785	GCA_003650785.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B20-G17;g__B20-G17;s__B20-G17 sp003650785	97.6	0.645	GCA_003650785.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B20-G17;g__B20-G17;s__B20-G17 sp003650785	97.6	0.645	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B20-G17;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	64.25	11	N/A	N/A
GCA_003650755.1_ASM365075v1_genomic	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B69-G16;g__B69-G16;s__B69-G16 sp021161825	GCA_021161825.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B69-G16;g__B69-G16;s__B69-G16 sp021161825	97.62	0.596	GCA_021161825.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B69-G16;g__B69-G16;s__B69-G16 sp021161825	97.62	0.596	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__B69-G16;g__B69-G16;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	57.34	11	N/A	N/A
GCA_003650795.1_ASM365079v1_genomic	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__Thermofilaceae;g__B17-G15;s__	N/A	N/A	N/A	N/A	N/A	GCA_003649495.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__Thermofilaceae;g__B17-G15;s__B17-G15 sp003649495	94.17	0.883	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__Thermofilaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	39.58	11	0.98734	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GCA_003650845.1_ASM365084v1_genomic	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__WYZ-LMO8 sp003650865	GCA_003650865.1	95.0	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__WYZ-LMO8 sp003650865	98.94	0.72	GCA_003650865.1	95.0	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__WYZ-LMO8 sp003650865	98.94	0.72	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	70.47	11	N/A	Genome has more than 13.2% of markers with multiple hits
GCA_003650865.1_ASM365086v1_genomic	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__WYZ-LMO8 sp003650865	GCA_003650865.1	95.0	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__WYZ-LMO8 sp003650865	100.0	0.993	GCA_003650865.1	95.0	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__WYZ-LMO8 sp003650865	100.0	0.993	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	81.54	11	N/A	N/A
GCA_003650905.1_ASM365090v1_genomic	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__QMSL01;f__QMSL01;g__B12-G16;s__B12-G16 sp003650925	GCA_003650925.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__QMSL01;f__QMSL01;g__B12-G16;s__B12-G16 sp003650925	99.85	0.969	GCA_003650925.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__QMSL01;f__QMSL01;g__B12-G16;s__B12-G16 sp003650925	99.85	0.969	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__QMSL01;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	67.99	11	N/A	N/A
GCA_003660745.1_ASM366074v1_genomic	d__Archaea;p__Thermoproteota;c__Nitrososphaeria_A;o__Caldarchaeales;f__Wolframiiraptoraceae;g__Wolframiiraptor;s__	N/A	N/A	N/A	N/A	N/A	GCA_021159365.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria_A;o__Caldarchaeales;f__Wolframiiraptoraceae;g__Wolframiiraptor;s__Wolframiiraptor sp021159365	86.3	0.567	d__Archaea;p__Thermoproteota;c__Nitrososphaeria_A;o__Caldarchaeales;f__Wolframiiraptoraceae;g__Wolframiiraptor;s__	taxonomic classification defined by topology and ANI	N/A	GCA_021163925.1, s__Wolframiiraptor sp021163925, 95.0, 81.41, 0.498; GCA_002255105.1, s__Wolframiiraptor sp002255105, 95.0, 80.04, 0.506	52.3	11	0.98066	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GCA_003660975.1_ASM366097v1_genomic	d__Archaea;p__B1Sed10-29;c__B1Sed10-29;o__B1Sed10-29;f__B47-G15;g__B47-G15;s__B47-G15 sp003660975	GCA_003660975.1	95.0	d__Archaea;p__B1Sed10-29;c__B1Sed10-29;o__B1Sed10-29;f__B47-G15;g__B47-G15;s__B47-G15 sp003660975	100.0	1.0	GCA_003660975.1	95.0	d__Archaea;p__B1Sed10-29;c__B1Sed10-29;o__B1Sed10-29;f__B47-G15;g__B47-G15;s__B47-G15 sp003660975	100.0	1.0	d__Archaea;p__B1Sed10-29;c__B1Sed10-29;o__B1Sed10-29;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.88	11	N/A	N/A
GCA_003661775.1_ASM366177v1_genomic	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__QMWT01;s__QMWT01 sp003661775	GCA_003661775.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__QMWT01;s__QMWT01 sp003661775	100.0	0.981	GCA_003661775.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__QMWT01;s__QMWT01 sp003661775	100.0	0.981	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__QMWT01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	77.34	11	N/A	N/A
GCA_003662445.1_ASM366244v1_genomic	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B24;f__B24;g__B24;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B24;f__B24;g__;s__	taxonomic novelty determined using RED	N/A	N/A	47.7	11	0.93377	N/A
GCA_003662865.1_ASM366286v1_genomic	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__MK-D1;g__Prometheoarchaeum;s__	N/A	N/A	N/A	N/A	N/A	GCA_021498095.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__MK-D1;g__Prometheoarchaeum;s__Prometheoarchaeum sp021498095	77.34	0.219	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__MK-D1;g__Prometheoarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	N/A	65.54	11	0.96093	N/A
GCA_003662875.1_ASM366287v1_genomic	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	GCA_019056785.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	99.67	0.908	GCA_019056785.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	99.67	0.908	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	65.93	11	N/A	N/A
GCA_003662935.1_ASM366293v1_genomic	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	GCA_019056785.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	99.74	0.834	GCA_019056785.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	99.74	0.834	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	76.68	11	N/A	N/A
GCA_003663235.1_ASM366323v1_genomic	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	65.69	11	0.60747	N/A
GCA_003663285.1_ASM366328v1_genomic	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__GW2011-AR5;f__JAGGXF01;g__JAGGVU01;s__	N/A	N/A	N/A	N/A	N/A	GCA_021157845.1	95.0	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__GW2011-AR5;f__JAGGXF01;g__JAGGVU01;s__JAGGVU01 sp021157845	97.56	0.364	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__GW2011-AR5;f__JAGGXF01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	43.37	11	0.98428	Genome has more than 11.3% of markers with multiple hits
GCA_003696825.1_ASM369682v1_genomic	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__Kariarchaeaceae;g__WAKA01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__Kariarchaeaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	78.73	11	0.93483	N/A
GCA_004144665.1_ASM414466v1_genomic	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.6%)
GCA_004366975.1_ASM436697v1_genomic	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus;s__Geoglobus sp002494725	GCA_002494725.1	95.0	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus;s__Geoglobus sp002494725	100.0	0.966	GCA_002494725.1	95.0	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus;s__Geoglobus sp002494725	100.0	0.966	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015522195.1, s__Geoglobus sp015522195, 95.0, 79.0, 0.528; GCA_015523645.1, s__Geoglobus sp015523645, 95.0, 77.58, 0.229; GCA_000789255.1, s__Geoglobus acetivorans, 95.0, 77.56, 0.219; GCF_001006045.1, s__Geoglobus ahangari, 95.0, 77.45, 0.244	98.85	11	N/A	N/A
