"env","genome_name","n_crispr","n_cas","n_spacer","n_cas_protein","n_crispr_level4"
"oral","MGYG000298086",0,0,0,0,0
"oral","MGYG000298088",5,1,39,6,2
"oral","MGYG000298089",0,0,0,0,0
"oral","MGYG000298090",1,2,4,5,0
"oral","MGYG000298091",0,0,0,0,0
"oral","MGYG000298092",1,1,3,1,0
"oral","MGYG000298093",4,2,8,5,1
"oral","MGYG000298094",1,0,22,0,1
"oral","MGYG000298095",6,0,6,0,0
"oral","MGYG000298096",1,0,1,0,0
"oral","MGYG000298097",5,0,7,0,0
"oral","MGYG000298098",2,2,3,5,0
"oral","MGYG000298099",3,0,3,0,0
"oral","MGYG000298101",2,0,2,0,0
"oral","MGYG000298102",0,0,0,0,0
"oral","MGYG000298103",3,0,3,0,0
"oral","MGYG000298104",0,0,0,0,0
"oral","MGYG000298105",13,5,72,12,4
"oral","MGYG000298106",0,0,0,0,0
"oral","MGYG000298107",3,2,17,10,1
"oral","MGYG000298108",4,1,8,1,0
"oral","MGYG000298109",3,2,23,13,0
"oral","MGYG000298110",11,0,11,0,0
"oral","MGYG000298111",8,0,9,0,0
"oral","MGYG000298112",10,3,20,18,2
"oral","MGYG000298113",3,0,6,0,0
"oral","MGYG000298114",1,1,1,1,0
"oral","MGYG000298116",10,0,13,0,0
"oral","MGYG000298117",5,0,9,0,0
"oral","MGYG000298118",0,0,0,0,0
"oral","MGYG000298119",10,0,10,0,0
"oral","MGYG000298120",2,3,2,6,0
"oral","MGYG000298121",2,2,4,5,0
"oral","MGYG000298122",5,8,171,28,1
"oral","MGYG000298123",6,0,6,0,0
"oral","MGYG000298124",2,0,2,0,0
"oral","MGYG000298125",0,0,0,0,0
"oral","MGYG000298126",4,0,8,0,0
"oral","MGYG000298127",5,0,8,0,0
"oral","MGYG000298128",11,4,29,8,1
"oral","MGYG000298129",3,0,3,0,0
"oral","MGYG000298130",4,1,4,1,0
"oral","MGYG000298131",6,0,6,0,0
"oral","MGYG000298132",7,0,8,0,0
"oral","MGYG000298133",3,0,3,0,0
"oral","MGYG000298134",12,2,46,12,1
"oral","MGYG000298136",0,0,0,0,0
"oral","MGYG000298137",4,1,6,1,0
"oral","MGYG000298138",4,3,8,11,0
"oral","MGYG000298139",0,0,0,0,0
"oral","MGYG000298140",3,2,3,3,0
"oral","MGYG000298141",5,3,39,13,1
"oral","MGYG000298142",2,0,5,0,0
"oral","MGYG000298143",7,0,7,0,0
"oral","MGYG000298144",1,0,1,0,0
"oral","MGYG000298145",2,0,2,0,0
"oral","MGYG000298146",0,0,0,0,0
"oral","MGYG000298147",0,0,0,0,0
"oral","MGYG000298148",5,0,13,0,0
"oral","MGYG000298149",7,0,12,0,0
"oral","MGYG000298150",6,0,6,0,0
"oral","MGYG000298151",0,0,0,0,0
"oral","MGYG000298152",1,1,21,1,1
"oral","MGYG000298153",2,0,2,0,0
"oral","MGYG000298154",0,0,0,0,0
"oral","MGYG000298155",0,0,0,0,0
"oral","MGYG000298156",2,0,3,0,0
"oral","MGYG000298157",5,0,6,0,0
"oral","MGYG000298158",2,2,22,7,1
"oral","MGYG000298159",7,5,14,11,0
"oral","MGYG000298160",5,4,50,22,3
"oral","MGYG000298161",4,0,89,0,3
"oral","MGYG000298162",2,0,5,0,0
"oral","MGYG000298163",7,2,14,10,1
"oral","MGYG000298164",2,0,3,0,0
"oral","MGYG000298165",1,2,15,5,1
"oral","MGYG000298166",2,3,25,11,1
"oral","MGYG000298167",0,0,0,0,0
"oral","MGYG000298168",2,0,3,0,0
"oral","MGYG000298169",0,0,0,0,0
"oral","MGYG000298170",3,3,5,6,0
"oral","MGYG000298171",10,4,11,4,0
"oral","MGYG000298172",2,0,2,0,0
"oral","MGYG000298173",2,2,11,3,1
"oral","MGYG000298174",15,0,16,0,0
"oral","MGYG000298175",0,0,0,0,0
"oral","MGYG000298176",2,0,2,0,0
"oral","MGYG000298177",2,0,3,0,0
"oral","MGYG000298178",2,0,8,0,1
"oral","MGYG000298179",6,2,20,5,2
"oral","MGYG000298180",4,0,4,0,0
"oral","MGYG000298181",3,2,3,3,0
"oral","MGYG000298182",11,3,42,16,1
"oral","MGYG000298183",3,0,3,0,0
"oral","MGYG000298184",2,0,2,0,0
"oral","MGYG000298185",9,2,21,3,2
"oral","MGYG000298186",0,0,0,0,0
"oral","MGYG000298187",2,3,34,13,1
"oral","MGYG000298188",2,0,2,0,0
"oral","MGYG000298189",4,0,4,0,0
"oral","MGYG000298190",4,2,12,3,1
"oral","MGYG000298191",3,3,5,4,0
"oral","MGYG000298192",1,0,1,0,0
"oral","MGYG000298193",8,2,8,4,0
"oral","MGYG000298194",1,1,1,1,0
"oral","MGYG000298195",2,0,2,0,0
"oral","MGYG000298196",2,0,4,0,0
"oral","MGYG000298197",11,5,107,36,4
"oral","MGYG000298198",2,2,13,14,1
"oral","MGYG000298199",3,0,9,0,0
"oral","MGYG000298200",1,2,9,10,1
"oral","MGYG000298202",3,2,28,10,1
"oral","MGYG000298203",14,0,14,0,0
"oral","MGYG000298204",5,0,9,0,0
"oral","MGYG000298205",0,0,0,0,0
"oral","MGYG000298206",64,3,236,16,7
"oral","MGYG000298207",4,0,4,0,0
"oral","MGYG000298208",1,0,1,0,0
"oral","MGYG000298209",2,2,10,15,1
"oral","MGYG000298210",3,2,3,5,0
"oral","MGYG000298211",9,3,36,8,2
"oral","MGYG000298212",3,3,26,9,2
"oral","MGYG000298213",17,2,133,3,4
"oral","MGYG000298214",1,0,1,0,0
"oral","MGYG000298215",1,0,1,0,0
"oral","MGYG000298216",8,0,8,0,0
"oral","MGYG000298217",0,0,0,0,0
"oral","MGYG000298218",1,1,1,1,0
"oral","MGYG000298219",0,0,0,0,0
"oral","MGYG000298220",6,0,7,0,0
"oral","MGYG000298221",4,0,4,0,0
"oral","MGYG000298222",0,0,0,0,0
"oral","MGYG000298223",0,0,0,0,0
"oral","MGYG000298224",4,0,4,0,0
"oral","MGYG000298225",1,0,1,0,0
"oral","MGYG000298226",6,0,8,0,0
"oral","MGYG000298227",0,0,0,0,0
"oral","MGYG000298228",1,0,1,0,0
"oral","MGYG000298229",4,2,22,3,1
"oral","MGYG000298230",2,0,2,0,0
"oral","MGYG000298231",2,3,106,23,2
"oral","MGYG000298232",1,0,1,0,0
"oral","MGYG000298233",2,0,2,0,0
"oral","MGYG000298234",3,0,10,0,1
"oral","MGYG000298235",0,0,0,0,0
"oral","MGYG000298236",1,0,5,0,0
"oral","MGYG000298237",3,0,3,0,0
"oral","MGYG000298238",2,0,2,0,0
"oral","MGYG000298239",10,2,11,5,0
"oral","MGYG000298240",0,0,0,0,0
"oral","MGYG000298241",0,0,0,0,0
"oral","MGYG000298242",5,3,82,6,2
"oral","MGYG000298243",0,0,0,0,0
"oral","MGYG000298244",3,0,5,0,0
"oral","MGYG000298245",4,0,4,0,0
"oral","MGYG000298246",17,0,17,0,0
"oral","MGYG000298247",4,0,4,0,0
"oral","MGYG000298248",0,0,0,0,0
"oral","MGYG000298249",8,3,10,4,0
"oral","MGYG000298250",0,0,0,0,0
"oral","MGYG000298251",3,0,3,0,0
"oral","MGYG000298252",3,1,42,1,2
"oral","MGYG000298253",2,4,6,7,1
"oral","MGYG000298254",0,0,0,0,0
"oral","MGYG000298255",3,3,7,8,1
"oral","MGYG000298256",62,4,101,9,1
"oral","MGYG000298257",4,0,4,0,0
"oral","MGYG000298258",7,2,13,5,1
"oral","MGYG000298259",6,2,32,3,1
"oral","MGYG000298260",4,2,17,3,1
"oral","MGYG000298261",3,0,3,0,0
"oral","MGYG000298262",0,0,0,0,0
"oral","MGYG000298263",0,0,0,0,0
"oral","MGYG000298264",1,0,1,0,0
"oral","MGYG000298265",2,0,2,0,0
"oral","MGYG000298266",2,3,7,8,1
"oral","MGYG000298267",2,1,17,3,1
"oral","MGYG000298268",0,0,0,0,0
"oral","MGYG000298269",1,0,1,0,0
"oral","MGYG000298270",3,0,10,0,1
"oral","MGYG000298271",0,0,0,0,0
"oral","MGYG000298272",1,3,15,6,1
"oral","MGYG000298273",1,0,1,0,0
"oral","MGYG000298274",5,0,5,0,0
"oral","MGYG000298275",6,2,41,5,1
"oral","MGYG000298276",1,0,1,0,0
"oral","MGYG000298277",5,3,116,11,1
"oral","MGYG000298278",1,0,1,0,0
"oral","MGYG000298279",2,1,2,1,0
"oral","MGYG000298280",5,2,58,14,1
"oral","MGYG000298281",4,0,5,0,0
"oral","MGYG000298282",2,2,32,9,1
"oral","MGYG000298283",2,0,2,0,0
"oral","MGYG000298285",4,0,4,0,0
"oral","MGYG000298286",5,0,6,0,0
"oral","MGYG000298287",2,2,5,4,0
"oral","MGYG000298288",2,1,2,1,0
"oral","MGYG000298289",1,0,2,0,0
"oral","MGYG000298290",6,2,7,5,0
"oral","MGYG000298291",10,5,19,23,1
"oral","MGYG000298292",4,3,25,10,1
"oral","MGYG000298293",0,0,0,0,0
"oral","MGYG000298295",1,0,1,0,0
"oral","MGYG000298296",2,0,2,0,0
"oral","MGYG000298297",2,0,2,0,0
"oral","MGYG000298298",3,0,4,0,0
"oral","MGYG000298299",2,2,7,3,1
"oral","MGYG000298300",3,2,3,5,0
"oral","MGYG000298301",2,2,50,12,1
"oral","MGYG000298302",4,2,53,5,1
"oral","MGYG000298303",4,3,5,4,0
"oral","MGYG000298304",11,0,14,0,0
"oral","MGYG000298305",1,2,1,5,0
"oral","MGYG000298306",9,0,9,0,0
"oral","MGYG000298307",10,1,19,1,2
"oral","MGYG000298308",2,0,2,0,0
"oral","MGYG000298309",0,0,0,0,0
"oral","MGYG000298310",1,0,1,0,0
"oral","MGYG000298311",1,0,1,0,0
"oral","MGYG000298312",0,0,0,0,0
"oral","MGYG000298313",2,0,4,0,0
"oral","MGYG000298314",0,0,0,0,0
"oral","MGYG000298315",1,0,1,0,0
"oral","MGYG000298316",5,0,5,0,0
"oral","MGYG000298317",9,0,15,0,1
"oral","MGYG000298318",0,0,0,0,0
"oral","MGYG000298319",28,5,122,19,3
"oral","MGYG000298320",7,5,15,11,1
"oral","MGYG000298321",6,1,6,1,0
"oral","MGYG000298322",16,4,127,7,5
"oral","MGYG000298323",0,0,0,0,0
"oral","MGYG000298324",0,0,0,0,0
"oral","MGYG000298325",2,0,2,0,0
"oral","MGYG000298326",1,0,2,0,0
"oral","MGYG000298327",2,2,24,7,1
"oral","MGYG000298328",1,0,1,0,0
"oral","MGYG000298329",5,1,5,3,0
"oral","MGYG000298330",2,2,6,10,1
"oral","MGYG000298331",1,1,1,1,0
"oral","MGYG000298332",1,0,4,0,1
"oral","MGYG000298333",3,2,39,14,1
"oral","MGYG000298334",3,1,6,1,0
"oral","MGYG000298335",3,2,8,5,0
"oral","MGYG000298336",3,0,7,0,0
"oral","MGYG000298337",6,3,7,8,0
"oral","MGYG000298338",7,3,15,8,1
"oral","MGYG000298339",5,0,10,0,1
"oral","MGYG000298340",0,0,0,0,0
"oral","MGYG000298341",13,2,46,15,1
"oral","MGYG000298342",3,3,43,8,1
"oral","MGYG000298343",6,1,7,1,0
"oral","MGYG000298344",0,0,0,0,0
"oral","MGYG000298345",17,0,17,0,0
"oral","MGYG000298346",4,2,36,10,1
"oral","MGYG000298347",5,0,6,0,0
"oral","MGYG000298348",13,5,197,20,9
"oral","MGYG000298349",3,0,3,0,0
"oral","MGYG000298350",1,1,3,1,0
"oral","MGYG000298351",3,2,5,3,0
"oral","MGYG000298352",2,1,9,3,1
"oral","MGYG000298353",6,2,7,3,0
"oral","MGYG000298354",4,0,4,0,0
"oral","MGYG000298356",1,0,1,0,0
"oral","MGYG000298357",2,1,2,1,0
"oral","MGYG000298358",13,4,44,13,2
"oral","MGYG000298359",0,0,0,0,0
"oral","MGYG000298360",6,2,57,15,1
"oral","MGYG000298361",11,2,42,3,1
"oral","MGYG000298362",1,0,1,0,0
"oral","MGYG000298363",2,0,2,0,0
"oral","MGYG000298364",4,0,4,0,0
"oral","MGYG000298365",3,0,3,0,0
"oral","MGYG000298366",1,0,16,0,1
"oral","MGYG000298367",8,2,8,14,0
"oral","MGYG000298368",2,0,3,0,0
"oral","MGYG000298369",1,0,2,0,0
"oral","MGYG000298370",7,4,72,8,2
"oral","MGYG000298371",3,0,7,0,0
"oral","MGYG000298372",0,0,0,0,0
"oral","MGYG000298373",0,0,0,0,0
"oral","MGYG000298374",1,0,1,0,0
"oral","MGYG000298375",0,0,0,0,0
"oral","MGYG000298376",3,0,10,0,1
"oral","MGYG000298377",8,1,23,1,1
"oral","MGYG000298378",2,0,2,0,0
"oral","MGYG000298379",4,2,4,5,0
"oral","MGYG000298380",3,0,12,0,1
"oral","MGYG000298381",0,0,0,0,0
"oral","MGYG000298382",8,0,8,0,0
"oral","MGYG000298383",12,3,37,14,1
"oral","MGYG000298384",5,2,7,2,0
"oral","MGYG000298385",4,1,5,1,0
"oral","MGYG000298386",1,0,1,0,0
"oral","MGYG000298387",0,0,0,0,0
"oral","MGYG000298388",4,0,4,0,0
"oral","MGYG000298389",1,0,1,0,0
"oral","MGYG000298390",3,0,3,0,0
"oral","MGYG000298391",2,0,2,0,0
"oral","MGYG000298392",5,1,30,1,1
"oral","MGYG000298393",2,0,2,0,0
"oral","MGYG000298394",2,0,2,0,0
"oral","MGYG000298395",19,0,21,0,0
"oral","MGYG000298396",6,0,7,0,0
"oral","MGYG000298397",9,0,9,0,0
"oral","MGYG000298398",1,0,1,0,0
"oral","MGYG000298399",10,2,68,5,1
"oral","MGYG000298400",1,0,16,0,1
"oral","MGYG000298401",5,3,76,35,3
"oral","MGYG000298402",5,3,25,7,1
"oral","MGYG000298403",1,0,1,0,0
"oral","MGYG000298404",3,5,46,16,2
"oral","MGYG000298405",1,0,1,0,0
"oral","MGYG000298406",1,0,1,0,0
"oral","MGYG000298407",1,0,1,0,0
"oral","MGYG000298408",15,0,17,0,0
"oral","MGYG000298409",0,0,0,0,0
"oral","MGYG000298410",0,0,0,0,0
"oral","MGYG000298411",2,0,2,0,0
"oral","MGYG000298413",2,3,27,6,0
"oral","MGYG000298414",1,0,1,0,0
"oral","MGYG000298415",7,1,8,1,0
"oral","MGYG000298416",0,0,0,0,0
"oral","MGYG000298417",12,0,19,0,0
"oral","MGYG000298418",1,0,1,0,0
"oral","MGYG000298419",1,0,1,0,0
"oral","MGYG000298420",9,3,18,7,1
"oral","MGYG000298421",1,0,1,0,0
"oral","MGYG000298422",2,0,2,0,0
"oral","MGYG000298423",0,0,0,0,0
"oral","MGYG000298424",0,0,0,0,0
"oral","MGYG000298425",1,0,1,0,0
"oral","MGYG000298426",3,2,4,3,0
"oral","MGYG000298427",5,5,5,11,0
"oral","MGYG000298429",6,2,133,10,3
"oral","MGYG000298430",2,0,2,0,0
"oral","MGYG000298431",0,0,0,0,0
"oral","MGYG000298432",8,2,42,16,2
"oral","MGYG000298433",12,3,39,4,2
"oral","MGYG000298434",13,1,16,1,0
"oral","MGYG000298435",12,0,13,0,0
"oral","MGYG000298436",5,0,6,0,0
"oral","MGYG000298437",0,0,0,0,0
"oral","MGYG000298438",1,0,1,0,0
"oral","MGYG000298439",8,1,8,1,0
"oral","MGYG000298440",1,0,1,0,0
"oral","MGYG000298441",1,0,1,0,0
"oral","MGYG000298442",4,0,4,0,0
"oral","MGYG000298443",9,0,10,0,0
"oral","MGYG000298444",0,0,0,0,0
"oral","MGYG000298445",7,1,25,4,1
"oral","MGYG000298446",4,1,4,1,0
"oral","MGYG000298447",5,0,17,0,2
"oral","MGYG000298448",2,2,11,7,1
"oral","MGYG000298449",6,2,78,14,1
"oral","MGYG000298450",2,0,2,0,0
"oral","MGYG000298451",0,0,0,0,0
"oral","MGYG000298452",3,2,22,4,2
"oral","MGYG000298453",5,5,43,25,4
"oral","MGYG000298454",2,0,2,0,0
"oral","MGYG000298455",5,3,64,15,1
"oral","MGYG000298456",3,0,3,0,0
"oral","MGYG000298457",1,0,1,0,0
"oral","MGYG000298458",3,3,11,8,1
"oral","MGYG000298459",4,6,7,24,0
"oral","MGYG000298460",1,0,1,0,0
"oral","MGYG000298461",7,4,7,9,0
"oral","MGYG000298462",1,0,3,0,0
"oral","MGYG000298463",2,2,9,5,1
"oral","MGYG000298464",13,3,14,6,0
"oral","MGYG000298465",1,0,1,0,0
"oral","MGYG000298466",5,2,29,7,1
"oral","MGYG000298467",2,0,2,0,0
"oral","MGYG000298468",0,0,0,0,0
"oral","MGYG000298469",5,1,5,1,0
"oral","MGYG000298470",16,0,17,0,0
"oral","MGYG000298471",1,0,1,0,0
"oral","MGYG000298472",1,0,7,0,0
"oral","MGYG000298473",7,5,7,9,0
"oral","MGYG000298474",2,0,2,0,0
"oral","MGYG000298475",2,6,26,14,2
"oral","MGYG000298476",12,3,141,18,7
"oral","MGYG000298477",2,0,3,0,0
"oral","MGYG000298478",0,0,0,0,0
"oral","MGYG000298479",15,3,153,27,3
"oral","MGYG000298480",9,0,15,0,0
"oral","MGYG000298481",6,0,6,0,0
"oral","MGYG000298482",12,4,67,9,3
"oral","MGYG000298483",3,3,19,8,1
"oral","MGYG000298484",4,2,21,5,2
"oral","MGYG000298485",3,2,7,5,1
"oral","MGYG000298486",9,2,10,5,0
"oral","MGYG000298487",1,0,1,0,0
"oral","MGYG000298488",15,0,17,0,0
"oral","MGYG000298489",0,0,0,0,0
"oral","MGYG000298490",0,0,0,0,0
"oral","MGYG000298491",1,0,1,0,0
"oral","MGYG000298492",2,0,2,0,0
"oral","MGYG000298494",5,2,36,9,1
"oral","MGYG000298495",11,0,11,0,0
"oral","MGYG000298496",8,3,64,6,2
"oral","MGYG000298497",7,1,15,6,0
"oral","MGYG000298498",1,0,3,0,0
"oral","MGYG000298499",4,0,5,0,0
"oral","MGYG000298501",3,0,3,0,0
"oral","MGYG000298502",1,0,1,0,0
"oral","MGYG000298503",3,0,7,0,1
"oral","MGYG000298504",5,3,79,14,4
"oral","MGYG000298505",0,0,0,0,0
"oral","MGYG000298506",3,0,3,0,0
"oral","MGYG000298507",7,4,84,24,3
"oral","MGYG000298508",2,1,15,1,1
"oral","MGYG000298509",3,1,5,1,0
"oral","MGYG000298510",0,0,0,0,0
"oral","MGYG000298511",0,0,0,0,0
"oral","MGYG000298512",1,2,7,11,1
"oral","MGYG000298513",3,2,18,3,1
"oral","MGYG000298514",1,0,1,0,0
"oral","MGYG000298515",6,2,6,3,0
"oral","MGYG000298516",10,2,118,2,2
"oral","MGYG000298517",6,0,7,0,0
"oral","MGYG000298518",15,0,15,0,0
"oral","MGYG000298519",4,0,4,0,0
"oral","MGYG000298520",0,0,0,0,0
"oral","MGYG000298521",5,3,75,18,1
"oral","MGYG000298522",1,0,1,0,0
"oral","MGYG000298523",32,6,147,14,3
"oral","MGYG000298524",0,0,0,0,0
"oral","MGYG000298526",4,0,4,0,0
"oral","MGYG000298527",12,2,34,5,3
"oral","MGYG000298528",21,1,32,1,1
"oral","MGYG000298529",0,0,0,0,0
"oral","MGYG000298530",7,3,22,8,1
"oral","MGYG000298531",7,4,198,22,2
"oral","MGYG000298532",1,0,1,0,0
"oral","MGYG000298533",2,0,2,0,0
"oral","MGYG000298534",1,0,1,0,0
"oral","MGYG000298535",0,0,0,0,0
"oral","MGYG000298536",7,5,216,25,4
"oral","MGYG000298537",10,2,106,14,1
"oral","MGYG000298538",8,3,64,6,1
"oral","MGYG000298539",8,2,43,14,1
"oral","MGYG000298540",2,2,54,5,1
"oral","MGYG000298541",12,2,76,4,1
"oral","MGYG000298542",3,0,3,0,0
"oral","MGYG000298543",6,3,31,8,2
"oral","MGYG000298544",0,0,0,0,0
"oral","MGYG000298545",0,0,0,0,0
"oral","MGYG000298546",1,0,1,0,0
"oral","MGYG000298547",2,2,2,14,0
"oral","MGYG000298548",1,0,1,0,0
"oral","MGYG000298549",3,0,3,0,0
"oral","MGYG000298550",2,0,2,0,0
"oral","MGYG000298551",2,0,16,0,1
"oral","MGYG000298553",6,0,6,0,0
"oral","MGYG000298554",0,0,0,0,0
"oral","MGYG000298555",2,0,2,0,0
"oral","MGYG000298556",4,8,109,43,4
"oral","MGYG000298557",0,0,0,0,0
"oral","MGYG000298558",1,0,1,0,0
"oral","MGYG000298559",9,3,65,8,1
"oral","MGYG000298561",1,0,3,0,0
"oral","MGYG000298562",2,1,2,1,0
"oral","MGYG000298563",2,0,2,0,0
"oral","MGYG000298564",0,0,0,0,0
"oral","MGYG000298565",1,0,1,0,0
"oral","MGYG000298566",0,0,0,0,0
"oral","MGYG000298567",4,3,13,4,2
"oral","MGYG000298568",1,0,1,0,0
"oral","MGYG000298569",2,0,33,0,1
"oral","MGYG000298570",1,2,2,3,0
"oral","MGYG000298571",0,0,0,0,0
"oral","MGYG000298572",4,1,4,1,0
"oral","MGYG000298573",33,2,117,12,2
"oral","MGYG000298574",0,0,0,0,0
"oral","MGYG000298575",4,1,7,2,0
"oral","MGYG000298576",4,2,11,7,1
"oral","MGYG000298577",3,1,4,1,0
"oral","MGYG000298578",3,0,4,0,0
"oral","MGYG000298579",8,0,16,0,0
"oral","MGYG000298580",1,0,2,0,0
"oral","MGYG000298581",6,1,6,1,0
"oral","MGYG000298582",1,0,1,0,0
"oral","MGYG000298583",4,0,11,0,1
"oral","MGYG000298584",0,0,0,0,0
"oral","MGYG000298585",7,1,31,1,1
"oral","MGYG000298586",15,2,15,3,0
"oral","MGYG000298587",0,0,0,0,0
"oral","MGYG000298588",2,0,2,0,0
"oral","MGYG000298589",7,0,7,0,0
"oral","MGYG000298590",9,0,11,0,0
"oral","MGYG000298591",6,0,6,0,0
"oral","MGYG000298593",1,0,1,0,0
"oral","MGYG000298594",6,6,20,25,1
"oral","MGYG000298595",2,0,3,0,0
"oral","MGYG000298596",1,2,20,14,1
"oral","MGYG000298597",3,2,5,5,0
"oral","MGYG000298598",5,6,9,16,1
"oral","MGYG000298599",2,2,2,5,0
"oral","MGYG000298600",0,0,0,0,0
"oral","MGYG000298601",0,0,0,0,0
"oral","MGYG000298602",1,2,25,2,1
"oral","MGYG000298603",3,1,5,6,0
"oral","MGYG000298604",14,4,16,7,0
"oral","MGYG000298605",0,0,0,0,0
"oral","MGYG000298606",3,4,63,12,3
"oral","MGYG000298608",6,1,7,1,0
"oral","MGYG000298610",3,0,3,0,0
"oral","MGYG000298611",4,0,4,0,0
"oral","MGYG000298612",3,2,42,10,1
"oral","MGYG000298614",2,0,4,0,0
"oral","MGYG000298615",8,4,58,5,2
"oral","MGYG000298616",2,0,2,0,0
"oral","MGYG000298617",33,1,51,1,0
"oral","MGYG000298618",9,4,44,9,2
"oral","MGYG000298619",2,0,2,0,0
"oral","MGYG000298620",0,0,0,0,0
"oral","MGYG000298621",1,0,1,0,0
"oral","MGYG000298622",2,0,12,0,1
"oral","MGYG000298623",11,1,13,6,0
"oral","MGYG000298624",5,0,32,0,3
"oral","MGYG000298625",6,0,13,0,1
"oral","MGYG000298626",3,1,3,1,0
"oral","MGYG000298627",1,0,1,0,0
"oral","MGYG000298628",1,0,1,0,0
"oral","MGYG000298629",0,0,0,0,0
"oral","MGYG000298630",2,2,2,3,0
"oral","MGYG000298631",1,1,1,1,0
"oral","MGYG000298632",8,0,9,0,0
"oral","MGYG000298633",5,3,24,8,1
"oral","MGYG000298634",6,0,9,0,0
"oral","MGYG000298636",2,3,140,19,2
"oral","MGYG000298637",1,0,1,0,0
"oral","MGYG000298638",2,0,15,0,1
"oral","MGYG000298640",2,1,2,1,0
"oral","MGYG000298641",3,1,66,2,1
"oral","MGYG000298642",10,4,41,16,3
"oral","MGYG000298643",5,5,10,16,0
"oral","MGYG000298644",3,0,3,0,0
"oral","MGYG000298645",8,6,32,15,1
"oral","MGYG000298646",5,0,8,0,0
"oral","MGYG000298647",3,3,20,6,1
"oral","MGYG000298648",0,0,0,0,0
"oral","MGYG000298649",8,0,8,0,0
"oral","MGYG000298650",4,0,7,0,0
"oral","MGYG000298651",4,5,19,16,2
"oral","MGYG000298652",16,0,17,0,0
"oral","MGYG000298653",20,0,34,0,1
"oral","MGYG000298654",1,0,4,0,1
