"env","genome","seqid","Cas_id","type","subtype"
"oral","MGYG000298083","MGYG000298083_24","MGYG000298083_24@CAS:1","CAS","CAS"
"oral","MGYG000298083","MGYG000298083_68","MGYG000298083_68@CAS:1","TypeI","TypeIE"
"oral","MGYG000298084","MGYG000298084_61","MGYG000298084_61@CAS:1","CAS","CAS"
"oral","MGYG000298084","MGYG000298084_61","MGYG000298084_61@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298084","MGYG000298084_72","MGYG000298084_72@CAS:1","CAS","CAS"
"oral","MGYG000298084","MGYG000298084_105","MGYG000298084_105@CAS:1","CAS","CAS"
"oral","MGYG000298085","MGYG000298085_10","MGYG000298085_10@CAS:1","CAS","CAS"
"oral","MGYG000298085","MGYG000298085_10","MGYG000298085_10@CAS:2","TypeII","TypeIIA"
"oral","MGYG000298085","MGYG000298085_10","MGYG000298085_10@CAS:3","TypeII","TypeIIU"
"oral","MGYG000298088","MGYG000298088_26","MGYG000298088_26@CAS:1","TypeI","TypeIF"
"oral","MGYG000298090","MGYG000298090_2","MGYG000298090_2@CAS:1","CAS","CAS"
"oral","MGYG000298090","MGYG000298090_2","MGYG000298090_2@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298092","MGYG000298092_1","MGYG000298092_1@CAS:1","CAS","CAS"
"oral","MGYG000298093","MGYG000298093_42","MGYG000298093_42@CAS:1","CAS","CAS"
"oral","MGYG000298093","MGYG000298093_42","MGYG000298093_42@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298098","MGYG000298098_55","MGYG000298098_55@CAS:1","CAS","CAS"
"oral","MGYG000298098","MGYG000298098_55","MGYG000298098_55@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298105","MGYG000298105_1","MGYG000298105_1@CAS:1","CAS","CAS"
"oral","MGYG000298105","MGYG000298105_2","MGYG000298105_2@CAS:1","TypeI","TypeIU"
"oral","MGYG000298105","MGYG000298105_2","MGYG000298105_2@CAS:2","CAS","CAS"
"oral","MGYG000298105","MGYG000298105_2","MGYG000298105_2@CAS:3","TypeI","TypeID"
"oral","MGYG000298105","MGYG000298105_7","MGYG000298105_7@CAS:1","TypeI","TypeIU"
"oral","MGYG000298107","MGYG000298107_150","MGYG000298107_150@CAS:1","CAS","CAS"
"oral","MGYG000298107","MGYG000298107_150","MGYG000298107_150@CAS:2","TypeI","TypeIC"
"oral","MGYG000298108","MGYG000298108_6","MGYG000298108_6@CAS:1","CAS","CAS"
"oral","MGYG000298109","MGYG000298109_4","MGYG000298109_4@CAS:1","CAS","CAS"
"oral","MGYG000298109","MGYG000298109_4","MGYG000298109_4@CAS:2","TypeIII","TypeIIIA"
"oral","MGYG000298112","MGYG000298112_43","MGYG000298112_43@CAS:1","CAS","CAS"
"oral","MGYG000298112","MGYG000298112_43","MGYG000298112_43@CAS:2","TypeIII","TypeIIIU"
"oral","MGYG000298112","MGYG000298112_43","MGYG000298112_43@CAS:3","TypeIII","TypeIIIA"
"oral","MGYG000298114","MGYG000298114_36","MGYG000298114_36@CAS:1","CAS","CAS"
"oral","MGYG000298120","MGYG000298120_2","MGYG000298120_2@CAS:1","CAS","CAS"
"oral","MGYG000298120","MGYG000298120_2","MGYG000298120_2@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298120","MGYG000298120_68","MGYG000298120_68@CAS:1","CAS","CAS"
"oral","MGYG000298121","MGYG000298121_148","MGYG000298121_148@CAS:1","CAS","CAS"
"oral","MGYG000298121","MGYG000298121_148","MGYG000298121_148@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298122","MGYG000298122_3","MGYG000298122_3@CAS:1","CAS","CAS"
"oral","MGYG000298122","MGYG000298122_3","MGYG000298122_3@CAS:2","TypeI","TypeID"
"oral","MGYG000298122","MGYG000298122_3","MGYG000298122_3@CAS:3","TypeIII","TypeIIIB"
"oral","MGYG000298122","MGYG000298122_11","MGYG000298122_11@CAS:1","CAS","CAS"
"oral","MGYG000298122","MGYG000298122_11","MGYG000298122_11@CAS:2","TypeI","TypeID"
"oral","MGYG000298122","MGYG000298122_11","MGYG000298122_11@CAS:3","TypeIII","TypeIIIU"
"oral","MGYG000298122","MGYG000298122_28","MGYG000298122_28@CAS:1","CAS","CAS"
"oral","MGYG000298122","MGYG000298122_28","MGYG000298122_28@CAS:2","TypeI","TypeIC"
"oral","MGYG000298128","MGYG000298128_133","MGYG000298128_133@CAS:1","CAS","CAS"
"oral","MGYG000298128","MGYG000298128_157","MGYG000298128_157@CAS:1","TypeI","TypeIU"
"oral","MGYG000298128","MGYG000298128_157","MGYG000298128_157@CAS:2","CAS","CAS"
"oral","MGYG000298128","MGYG000298128_157","MGYG000298128_157@CAS:3","TypeI","TypeID"
"oral","MGYG000298130","MGYG000298130_9","MGYG000298130_9@CAS:1","CAS","CAS"
"oral","MGYG000298134","MGYG000298134_1","MGYG000298134_1@CAS:1","CAS","CAS"
"oral","MGYG000298134","MGYG000298134_1","MGYG000298134_1@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298137","MGYG000298137_2","MGYG000298137_2@CAS:1","CAS","CAS"
"oral","MGYG000298138","MGYG000298138_1","MGYG000298138_1@CAS:1","CAS","CAS"
"oral","MGYG000298138","MGYG000298138_10","MGYG000298138_10@CAS:1","CAS","CAS"
"oral","MGYG000298138","MGYG000298138_10","MGYG000298138_10@CAS:2","TypeI","TypeIC"
"oral","MGYG000298140","MGYG000298140_21","MGYG000298140_21@CAS:1","CAS","CAS"
"oral","MGYG000298140","MGYG000298140_44","MGYG000298140_44@CAS:1","CAS","CAS"
"oral","MGYG000298141","MGYG000298141_1","MGYG000298141_1@CAS:1","CAS","CAS"
"oral","MGYG000298141","MGYG000298141_1","MGYG000298141_1@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298141","MGYG000298141_2","MGYG000298141_2@CAS:1","CAS","CAS"
"oral","MGYG000298152","MGYG000298152_20","MGYG000298152_20@CAS:1","CAS","CAS"
"oral","MGYG000298158","MGYG000298158_6","MGYG000298158_6@CAS:1","CAS","CAS"
"oral","MGYG000298158","MGYG000298158_6","MGYG000298158_6@CAS:2","TypeI","TypeIB"
"oral","MGYG000298159","MGYG000298159_25","MGYG000298159_25@CAS:1","CAS","CAS"
"oral","MGYG000298159","MGYG000298159_25","MGYG000298159_25@CAS:2","TypeIII","TypeIIIU"
"oral","MGYG000298159","MGYG000298159_25","MGYG000298159_25@CAS:3","TypeIII","TypeIIIA"
"oral","MGYG000298159","MGYG000298159_74","MGYG000298159_74@CAS:1","CAS","CAS"
"oral","MGYG000298159","MGYG000298159_74","MGYG000298159_74@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298160","MGYG000298160_23","MGYG000298160_23@CAS:1","TypeI","TypeIE"
"oral","MGYG000298160","MGYG000298160_23","MGYG000298160_23@CAS:2","CAS","CAS"
"oral","MGYG000298160","MGYG000298160_49","MGYG000298160_49@CAS:1","CAS","CAS"
"oral","MGYG000298160","MGYG000298160_49","MGYG000298160_49@CAS:2","TypeI","TypeIC"
"oral","MGYG000298163","MGYG000298163_2","MGYG000298163_2@CAS:1","CAS","CAS"
"oral","MGYG000298163","MGYG000298163_2","MGYG000298163_2@CAS:2","TypeI","TypeIC"
"oral","MGYG000298165","MGYG000298165_53","MGYG000298165_53@CAS:1","CAS","CAS"
"oral","MGYG000298165","MGYG000298165_53","MGYG000298165_53@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298166","MGYG000298166_1","MGYG000298166_1@CAS:1","CAS","CAS"
"oral","MGYG000298166","MGYG000298166_1","MGYG000298166_1@CAS:2","TypeII","TypeIIA"
"oral","MGYG000298166","MGYG000298166_1","MGYG000298166_1@CAS:3","TypeII","TypeIIU"
"oral","MGYG000298170","MGYG000298170_103","MGYG000298170_103@CAS:1","TypeII","TypeIIA"
"oral","MGYG000298170","MGYG000298170_103","MGYG000298170_103@CAS:2","CAS","CAS"
"oral","MGYG000298170","MGYG000298170_103","MGYG000298170_103@CAS:3","TypeII","TypeIIU"
"oral","MGYG000298171","MGYG000298171_7","MGYG000298171_7@CAS:1","CAS","CAS"
"oral","MGYG000298171","MGYG000298171_13","MGYG000298171_13@CAS:1","CAS","CAS"
"oral","MGYG000298171","MGYG000298171_27","MGYG000298171_27@CAS:1","CAS","CAS"
"oral","MGYG000298171","MGYG000298171_40","MGYG000298171_40@CAS:1","CAS","CAS"
"oral","MGYG000298173","MGYG000298173_1","MGYG000298173_1@CAS:1","CAS","CAS"
"oral","MGYG000298173","MGYG000298173_1","MGYG000298173_1@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298179","MGYG000298179_102","MGYG000298179_102@CAS:1","Type","TypeU"
"oral","MGYG000298179","MGYG000298179_102","MGYG000298179_102@CAS:2","CAS","CAS"
"oral","MGYG000298181","MGYG000298181_2","MGYG000298181_2@CAS:1","CAS","CAS"
"oral","MGYG000298181","MGYG000298181_2","MGYG000298181_2@CAS:2","TypeI","TypeIA"
"oral","MGYG000298182","MGYG000298182_24","MGYG000298182_24@CAS:1","CAS","CAS"
"oral","MGYG000298182","MGYG000298182_24","MGYG000298182_24@CAS:2","TypeIII","TypeIIIA"
"oral","MGYG000298182","MGYG000298182_81","MGYG000298182_81@CAS:1","CAS","CAS"
"oral","MGYG000298185","MGYG000298185_2","MGYG000298185_2@CAS:1","CAS","CAS"
"oral","MGYG000298185","MGYG000298185_2","MGYG000298185_2@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298187","MGYG000298187_1","MGYG000298187_1@CAS:1","CAS","CAS"
"oral","MGYG000298187","MGYG000298187_1","MGYG000298187_1@CAS:2","TypeI","TypeIC"
"oral","MGYG000298187","MGYG000298187_2","MGYG000298187_2@CAS:1","CAS","CAS"
"oral","MGYG000298190","MGYG000298190_226","MGYG000298190_226@CAS:1","CAS","CAS"
"oral","MGYG000298190","MGYG000298190_226","MGYG000298190_226@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298191","MGYG000298191_191","MGYG000298191_191@CAS:1","CAS","CAS"
"oral","MGYG000298191","MGYG000298191_282","MGYG000298191_282@CAS:1","CAS","CAS"
"oral","MGYG000298191","MGYG000298191_282","MGYG000298191_282@CAS:2","TypeIII","TypeIIIU"
"oral","MGYG000298193","MGYG000298193_3","MGYG000298193_3@CAS:1","CAS","CAS"
"oral","MGYG000298193","MGYG000298193_3","MGYG000298193_3@CAS:2","TypeI","TypeIB"
"oral","MGYG000298194","MGYG000298194_81","MGYG000298194_81@CAS:1","TypeIII","TypeIIIA"
"oral","MGYG000298197","MGYG000298197_1","MGYG000298197_1@CAS:1","CAS","CAS"
"oral","MGYG000298197","MGYG000298197_1","MGYG000298197_1@CAS:2","TypeIII","TypeIIIU"
"oral","MGYG000298197","MGYG000298197_1","MGYG000298197_1@CAS:3","TypeI","TypeIB"
"oral","MGYG000298197","MGYG000298197_1","MGYG000298197_1@CAS:4","TypeIII","TypeIIIB"
"oral","MGYG000298197","MGYG000298197_1","MGYG000298197_1@CAS:5","TypeIII","TypeIIIA"
"oral","MGYG000298198","MGYG000298198_34","MGYG000298198_34@CAS:1","TypeI","TypeIE"
"oral","MGYG000298198","MGYG000298198_34","MGYG000298198_34@CAS:2","CAS","CAS"
"oral","MGYG000298200","MGYG000298200_42","MGYG000298200_42@CAS:1","TypeI","TypeIE"
"oral","MGYG000298200","MGYG000298200_42","MGYG000298200_42@CAS:2","CAS","CAS"
"oral","MGYG000298202","MGYG000298202_4","MGYG000298202_4@CAS:1","CAS","CAS"
"oral","MGYG000298202","MGYG000298202_4","MGYG000298202_4@CAS:2","TypeI","TypeIC"
"oral","MGYG000298206","MGYG000298206_2","MGYG000298206_2@CAS:1","CAS","CAS"
"oral","MGYG000298206","MGYG000298206_71","MGYG000298206_71@CAS:1","TypeI","TypeIE"
"oral","MGYG000298206","MGYG000298206_71","MGYG000298206_71@CAS:2","CAS","CAS"
"oral","MGYG000298209","MGYG000298209_1","MGYG000298209_1@CAS:1","CAS","CAS"
"oral","MGYG000298209","MGYG000298209_1","MGYG000298209_1@CAS:2","TypeIII","TypeIIIA"
"oral","MGYG000298210","MGYG000298210_203","MGYG000298210_203@CAS:1","CAS","CAS"
"oral","MGYG000298210","MGYG000298210_203","MGYG000298210_203@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298211","MGYG000298211_14","MGYG000298211_14@CAS:1","CAS","CAS"
"oral","MGYG000298211","MGYG000298211_14","MGYG000298211_14@CAS:2","TypeIII","TypeIIIU"
"oral","MGYG000298211","MGYG000298211_14","MGYG000298211_14@CAS:3","TypeIII","TypeIIIA"
"oral","MGYG000298212","MGYG000298212_1","MGYG000298212_1@CAS:1","TypeI","TypeIU"
"oral","MGYG000298212","MGYG000298212_1","MGYG000298212_1@CAS:2","CAS","CAS"
"oral","MGYG000298212","MGYG000298212_2","MGYG000298212_2@CAS:1","CAS","CAS"
"oral","MGYG000298213","MGYG000298213_4","MGYG000298213_4@CAS:1","CAS","CAS"
"oral","MGYG000298213","MGYG000298213_4","MGYG000298213_4@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298218","MGYG000298218_2","MGYG000298218_2@CAS:1","CAS","CAS"
"oral","MGYG000298229","MGYG000298229_175","MGYG000298229_175@CAS:1","CAS","CAS"
"oral","MGYG000298229","MGYG000298229_175","MGYG000298229_175@CAS:2","TypeI","TypeIB"
"oral","MGYG000298231","MGYG000298231_1","MGYG000298231_1@CAS:1","CAS","CAS"
"oral","MGYG000298231","MGYG000298231_1","MGYG000298231_1@CAS:2","TypeI","TypeIC"
"oral","MGYG000298231","MGYG000298231_1","MGYG000298231_1@CAS:3","TypeII","TypeIIU"
"oral","MGYG000298239","MGYG000298239_48","MGYG000298239_48@CAS:1","CAS","CAS"
"oral","MGYG000298239","MGYG000298239_48","MGYG000298239_48@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298242","MGYG000298242_1","MGYG000298242_1@CAS:1","CAS","CAS"
"oral","MGYG000298242","MGYG000298242_3","MGYG000298242_3@CAS:1","CAS","CAS"
"oral","MGYG000298242","MGYG000298242_3","MGYG000298242_3@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298249","MGYG000298249_96","MGYG000298249_96@CAS:1","TypeI","TypeIU"
"oral","MGYG000298249","MGYG000298249_96","MGYG000298249_96@CAS:2","CAS","CAS"
"oral","MGYG000298249","MGYG000298249_96","MGYG000298249_96@CAS:3","TypeI","TypeID"
"oral","MGYG000298252","MGYG000298252_4","MGYG000298252_4@CAS:1","TypeII","TypeIIU"
"oral","MGYG000298253","MGYG000298253_2","MGYG000298253_2@CAS:1","CAS","CAS"
"oral","MGYG000298253","MGYG000298253_2","MGYG000298253_2@CAS:2","TypeI","TypeIC"
"oral","MGYG000298253","MGYG000298253_32","MGYG000298253_32@CAS:1","CAS","CAS"
"oral","MGYG000298253","MGYG000298253_32","MGYG000298253_32@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298255","MGYG000298255_135","MGYG000298255_135@CAS:1","CAS","CAS"
"oral","MGYG000298255","MGYG000298255_135","MGYG000298255_135@CAS:2","TypeIII","TypeIIIU"
"oral","MGYG000298255","MGYG000298255_135","MGYG000298255_135@CAS:3","TypeIII","TypeIIIA"
"oral","MGYG000298256","MGYG000298256_25","MGYG000298256_25@CAS:1","TypeI","TypeIU"
"oral","MGYG000298256","MGYG000298256_25","MGYG000298256_25@CAS:2","CAS","CAS"
"oral","MGYG000298256","MGYG000298256_25","MGYG000298256_25@CAS:3","TypeI","TypeID"
"oral","MGYG000298256","MGYG000298256_29","MGYG000298256_29@CAS:1","CAS","CAS"
"oral","MGYG000298258","MGYG000298258_106","MGYG000298258_106@CAS:1","CAS","CAS"
"oral","MGYG000298258","MGYG000298258_106","MGYG000298258_106@CAS:2","TypeI","TypeIC"
"oral","MGYG000298259","MGYG000298259_26","MGYG000298259_26@CAS:1","CAS","CAS"
"oral","MGYG000298259","MGYG000298259_26","MGYG000298259_26@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298260","MGYG000298260_277","MGYG000298260_277@CAS:1","CAS","CAS"
"oral","MGYG000298260","MGYG000298260_277","MGYG000298260_277@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298266","MGYG000298266_8","MGYG000298266_8@CAS:1","CAS","CAS"
"oral","MGYG000298266","MGYG000298266_8","MGYG000298266_8@CAS:2","TypeII","TypeIIA"
"oral","MGYG000298266","MGYG000298266_8","MGYG000298266_8@CAS:3","TypeII","TypeIIU"
"oral","MGYG000298267","MGYG000298267_1","MGYG000298267_1@CAS:1","CAS","CAS"
"oral","MGYG000298272","MGYG000298272_50","MGYG000298272_50@CAS:1","TypeII","TypeIIA"
"oral","MGYG000298272","MGYG000298272_50","MGYG000298272_50@CAS:2","CAS","CAS"
"oral","MGYG000298272","MGYG000298272_50","MGYG000298272_50@CAS:3","TypeII","TypeIIU"
"oral","MGYG000298275","MGYG000298275_12","MGYG000298275_12@CAS:1","CAS","CAS"
"oral","MGYG000298275","MGYG000298275_12","MGYG000298275_12@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298277","MGYG000298277_8","MGYG000298277_8@CAS:1","CAS","CAS"
"oral","MGYG000298277","MGYG000298277_8","MGYG000298277_8@CAS:2","TypeI","TypeIC"
"oral","MGYG000298277","MGYG000298277_13","MGYG000298277_13@CAS:1","CAS","CAS"
"oral","MGYG000298279","MGYG000298279_9","MGYG000298279_9@CAS:1","TypeIII","TypeIIIA"
"oral","MGYG000298280","MGYG000298280_35","MGYG000298280_35@CAS:1","TypeI","TypeIE"
"oral","MGYG000298280","MGYG000298280_35","MGYG000298280_35@CAS:2","CAS","CAS"
"oral","MGYG000298282","MGYG000298282_1","MGYG000298282_1@CAS:1","Type","TypeU"
"oral","MGYG000298282","MGYG000298282_1","MGYG000298282_1@CAS:2","CAS","CAS"
"oral","MGYG000298287","MGYG000298287_137","MGYG000298287_137@CAS:1","CAS","CAS"
"oral","MGYG000298287","MGYG000298287_137","MGYG000298287_137@CAS:2","TypeI","TypeIB"
"oral","MGYG000298288","MGYG000298288_6","MGYG000298288_6@CAS:1","TypeIII","TypeIIIU"
"oral","MGYG000298290","MGYG000298290_161","MGYG000298290_161@CAS:1","CAS","CAS"
"oral","MGYG000298290","MGYG000298290_161","MGYG000298290_161@CAS:2","TypeII","TypeIIU"
"oral","MGYG000298291","MGYG000298291_55","MGYG000298291_55@CAS:1","CAS","CAS"
"oral","MGYG000298291","MGYG000298291_55","MGYG000298291_55@CAS:2","TypeIII","TypeIIIU"
"oral","MGYG000298291","MGYG000298291_55","MGYG000298291_55@CAS:3","TypeIII","TypeIIIA"
