"genome_name","n_crispr","n_cas","n_spacer","n_cas_protein","n_crispr_level4"
"GCA_011050175.1_ASM1105017v1_genomic.fna",4,4,36,8,3
"GCA_013202845.1_ASM1320284v1_genomic.fna",1,1,1,1,0
"GCA_013214115.1_ASM1321411v1_genomic.fna",1,0,1,0,0
"GCA_013329855.1_ASM1332985v1_genomic.fna",1,0,1,0,0
"GCA_013330385.1_ASM1333038v1_genomic.fna",1,0,1,0,0
"GCA_013330855.1_ASM1333085v1_genomic.fna",0,0,0,0,0
"GCA_013330975.1_ASM1333097v1_genomic.fna",0,0,0,0,0
"GCA_013867185.1_ASM1386718v1_genomic.fna",2,0,2,0,0
"GCA_014238095.1_ASM1423809v1_genomic.fna",0,0,0,0,0
"GCA_014361425.1_ASM1436142v1_genomic.fna",1,2,1,4,0
"GCA_014874255.1_ASM1487425v1_genomic.fna",7,0,15,0,0
"GCA_015520885.1_ASM1552088v1_genomic.fna",2,0,6,0,1
"GCA_015523125.1_ASM1552312v1_genomic.fna",0,0,0,0,0
"GCA_015661435.1_ASM1566143v1_genomic.fna",0,0,0,0,0
"GCA_016838725.1_ASM1683872v1_genomic.fna",0,0,0,0,0
"GCA_016840585.1_ASM1684058v1_genomic.fna",1,0,1,0,0
"GCA_017538245.1_ASM1753824v1_genomic.fna",0,0,0,0,0
"GCA_017609915.1_ASM1760991v1_genomic.fna",0,0,0,0,0
"GCA_018221175.1_ASM1822117v1_genomic.fna",2,0,2,0,0
"GCA_018238215.1_ASM1823821v1_genomic.fna",0,0,0,0,0
"GCA_018302605.1_ASM1830260v1_genomic.fna",0,0,0,0,0
"GCA_018648725.1_ASM1864872v1_genomic.fna",4,0,7,0,0
"GCA_018661905.1_ASM1866190v1_genomic.fna",3,0,4,0,0
"GCA_018692795.1_ASM1869279v1_genomic.fna",3,0,4,0,0
"GCA_018819345.1_ASM1881934v1_genomic.fna",0,0,0,0,0
"GCA_019058235.1_ASM1905823v1_genomic.fna",0,0,0,0,0
"GCA_019058365.1_ASM1905836v1_genomic.fna",6,1,129,8,1
"GCA_020351745.1_ASM2035174v1_genomic.fna",2,0,2,0,0
"GCA_020833005.1_ASM2083300v1_genomic.fna",13,17,248,64,8
"GCA_020833025.1_ASM2083302v1_genomic.fna",5,0,76,0,2
"GCA_020854815.1_ASM2085481v1_genomic.fna",6,2,53,9,3
"GCA_021129915.1_ASM2112991v1_genomic.fna",1,0,2,0,0
"GCA_021159475.1_ASM2115947v1_genomic.fna",5,0,15,0,1
"GCA_021160765.1_ASM2116076v1_genomic.fna",1,0,1,0,0
"GCA_021160905.1_ASM2116090v1_genomic.fna",2,3,10,10,1
"GCA_021498095.1_ASM2149809v1_genomic.fna",6,2,215,20,2
"GCA_021787495.1_ASM2178749v1_genomic.fna",0,0,0,0,0
"GCA_021792175.1_ASM2179217v1_genomic.fna",2,0,6,0,0
"GCA_021799215.1_ASM2179921v1_genomic.fna",2,3,27,17,2
"GCA_021799315.1_ASM2179931v1_genomic.fna",1,0,13,0,1
"GCA_021800135.1_ASM2180013v1_genomic.fna",0,0,0,0,0
"GCA_021803615.1_ASM2180361v1_genomic.fna",9,9,114,15,5
"GCA_021851555.1_ASM2185155v1_genomic.fna",2,0,3,0,0
"GCA_022015155.1_ASM2201515v1_genomic.fna",2,0,2,0,0
"GCA_023128635.1_ASM2312863v1_genomic.fna",2,0,2,0,0
"GCA_023136695.1_ASM2313669v1_genomic.fna",0,0,0,0,0
"GCA_023259315.1_ASM2325931v1_genomic.fna",0,0,0,0,0
"GCA_023269895.1_ASM2326989v1_genomic.fna",0,0,0,0,0
"GCA_023474155.1_ASM2347415v1_genomic.fna",2,0,2,0,0
"GCA_024450985.1_ASM2445098v1_genomic.fna",1,0,1,0,0
"GCA_025058055.1_ASM2505805v1_genomic.fna",1,0,1,0,0
"GCA_026552875.1_ASM2655287v1_genomic.fna",6,3,42,11,1
"GCA_027004735.1_ASM2700473v1_genomic.fna",7,0,16,0,0
"GCA_027026685.1_ASM2702668v1_genomic.fna",1,0,1,0,0
"GCA_027032845.1_ASM2703284v1_genomic.fna",3,0,8,0,1
"GCA_027033755.1_ASM2703375v1_genomic.fna",0,0,0,0,0
"GCA_027040795.1_ASM2704079v1_genomic.fna",14,2,34,3,1
"GCA_027044635.1_ASM2704463v1_genomic.fna",11,0,158,0,9
"GCA_027046525.1_ASM2704652v1_genomic.fna",0,0,0,0,0
"GCA_027074325.1_ASM2707432v1_genomic.fna",1,0,24,0,1
"GCA_027309505.1_ASM2730950v1_genomic.fna",1,0,1,0,0
"GCA_027328125.1_ASM2732812v1_genomic.fna",4,0,8,0,1
"GCA_027332755.1_ASM2733275v1_genomic.fna",0,0,0,0,0
"GCA_027332845.1_ASM2733284v1_genomic.fna",0,0,0,0,0
"GCA_027334085.1_ASM2733408v1_genomic.fna",0,0,0,0,0
"GCA_027336495.1_ASM2733649v1_genomic.fna",0,0,0,0,0
"GCA_027338235.1_ASM2733823v1_genomic.fna",0,0,0,0,0
"GCA_027344805.1_ASM2734480v1_genomic.fna",1,1,1,1,0
"GCA_027353635.1_ASM2735363v1_genomic.fna",0,0,0,0,0
"GCA_027355425.1_ASM2735542v1_genomic.fna",1,0,3,0,0
"GCA_027363655.1_ASM2736365v1_genomic.fna",0,0,0,0,0
"GCA_027363745.1_ASM2736374v1_genomic.fna",1,0,1,0,0
"GCA_027366335.1_ASM2736633v1_genomic.fna",0,0,0,0,0
"GCA_027367115.1_ASM2736711v1_genomic.fna",2,2,32,11,2
"GCA_027367445.1_ASM2736744v1_genomic.fna",0,0,0,0,0
"GCA_027368315.1_ASM2736831v1_genomic.fna",0,0,0,0,0
"GCA_027369045.1_ASM2736904v1_genomic.fna",0,0,0,0,0
"GCA_027372655.1_ASM2737265v1_genomic.fna",0,0,0,0,0
"GCA_027373065.1_ASM2737306v1_genomic.fna",0,0,0,0,0
"GCA_027378575.1_ASM2737857v1_genomic.fna",0,0,0,0,0
"GCA_027380835.1_ASM2738083v1_genomic.fna",0,0,0,0,0
"GCA_902783085.1_Rumen_uncultured_genome_RUG12835_genomic.fna",4,2,34,4,1
"GCA_902784195.1_Rumen_uncultured_genome_RUG12946_genomic.fna",12,1,23,1,0
"GCA_903858775.1_freshwater_MAG_---_AM-2014_bin-2507_genomic.fna",7,0,12,0,0
"GCA_903876185.1_freshwater_MAG_---_AM-sed-core1-D1_bin-525_genomic.fna",0,0,0,0,0
"GCA_903900255.1_freshwater_MAG_---_Ja2-D4_bin-0379_genomic.fna",2,0,2,0,0
"GCA_903917745.1_freshwater_MAG_---_AM-2014_bin-3762_genomic.fna",3,2,11,8,1
"GCA_905213775.1_SRR5580102-mag-bin.60_genomic.fna",1,0,1,0,0
"GCA_937121375.1_ERR2683643_bin.15_CONCOCT_v1.1_MAG_genomic.fna",5,2,41,11,2
"GCA_937888675.1_ERR599047_bin.11_CONCOCT_v1.1_MAG_genomic.fna",2,0,2,0,0
"GCA_944320485.1_E27_bin288_genomic.fna",1,2,40,14,1
"GCA_945868565.1_SRR15732360_bin.19_metaWRAP_v1.3_MAG_genomic.fna",4,0,4,0,0
"GCF_000069025.1_ASM6902v1_genomic.fna",3,0,5,0,0
"GCF_000337775.1_ASM33777v1_genomic.fna",5,0,10,0,0
"GCF_000504565.1_ASM50456v2_genomic.fna",4,1,17,8,1
"GCF_001316105.1_ASM131610v1_genomic.fna",4,1,147,3,3
"GCF_001559965.1_GG12_C01_03_genomic.fna",4,2,228,7,3
"GCF_003383085.1_ASM338308v1_genomic.fna",7,2,120,9,2
"GCF_003841465.1_ASM384146v1_genomic.fna",11,0,18,0,1
"GCF_005435095.1_ASM543509v1_genomic.fna",6,1,97,7,2
"GCF_008729095.1_ASM872909v1_genomic.fna",4,0,4,0,0
"GCF_009729055.1_ASM972905v1_genomic.fna",13,2,381,18,6
"GCF_009741925.1_ASM974192v1_genomic.fna",3,0,3,0,0
"GCF_020614395.1_ASM2061439v1_genomic.fna",8,0,10,0,0
"GCF_026616195.1_ASM2661619v1_genomic.fna",6,1,52,8,2
"GCF_900114435.1_IMG-taxon_2667527389_annotated_assembly_genomic.fna",15,0,18,0,0
"GCF_900188065.1_IMG-taxon_2724679803_annotated_assembly_genomic.fna",4,2,9,3,1
"GCA_001512375.1_ASM151237v1_genomic.fna",2,1,74,1,1
"GCA_001515205.2_ASM151520v2_genomic.fna",3,0,16,0,2
"GCA_001587655.1_ASM158765v1_genomic.fna",2,2,3,11,0
"GCA_001627095.1_ASM162709v1_genomic.fna",2,0,2,0,0
"GCA_001918315.1_ASM191831v1_genomic.fna",0,0,0,0,0
"GCA_002494685.1_ASM249468v1_genomic.fna",2,0,2,0,0
"GCA_002502635.1_ASM250263v1_genomic.fna",1,2,30,15,1
"GCA_002506085.1_ASM250608v1_genomic.fna",12,2,65,16,1
"GCA_002507365.1_ASM250736v1_genomic.fna",0,0,0,0,0
"GCA_002690055.1_ASM269005v1_genomic.fna",2,0,2,0,0
"GCA_002696505.1_ASM269650v1_genomic.fna",4,0,4,0,0
"GCA_002725535.1_ASM272553v1_genomic.fna",2,0,7,0,0
"GCA_002789435.1_ASM278943v1_genomic.fna",1,0,1,0,0
"GCA_003021795.1_ASM302179v1_genomic.fna",4,0,10,0,0
"GCA_003331425.1_ASM333142v1_genomic.fna",3,0,4,0,0
"GCA_003601725.1_ASM360172v1_genomic.fna",1,0,1,0,0
"GCA_003649945.1_ASM364994v1_genomic.fna",0,0,0,0,0
"GCA_003672965.1_ASM367296v1_genomic.fna",0,0,0,0,0
"GCA_007050175.1_ASM705017v1_genomic.fna",17,6,422,15,15
"GCA_010028385.1_ASM1002838v1_genomic.fna",0,0,0,0,0
"GCA_011055585.1_ASM1105558v1_genomic.fna",4,0,5,0,0
"GCA_011772645.1_ASM1177264v1_genomic.fna",0,0,0,0,0
"GCA_011776285.1_ASM1177628v1_genomic.fna",5,0,5,0,0
"GCA_012798025.1_ASM1279802v1_genomic.fna",2,0,3,0,0
"GCA_013288055.1_ASM1328805v1_genomic.fna",0,0,0,0,0
"GCA_013330625.1_ASM1333062v1_genomic.fna",1,0,2,0,0
"GCA_013791695.1_ASM1379169v1_genomic.fna",2,0,2,0,0
"GCA_014237115.1_ASM1423711v1_genomic.fna",7,4,11,6,1
"GCA_014728985.1_ASM1472898v1_genomic.fna",1,0,3,0,0
"GCA_015521425.1_ASM1552142v1_genomic.fna",4,4,55,22,4
"GCA_016176745.1_ASM1617674v1_genomic.fna",1,0,1,0,0
"GCA_016185435.1_ASM1618543v1_genomic.fna",2,0,2,0,0
"GCA_016188155.1_ASM1618815v1_genomic.fna",0,0,0,0,0
"GCA_016782145.1_ASM1678214v1_genomic.fna",6,1,7,1,0
"GCA_017433025.1_ASM1743302v1_genomic.fna",6,0,9,0,0
"GCA_017608625.1_ASM1760862v1_genomic.fna",0,0,0,0,0
"GCA_017609535.1_ASM1760953v1_genomic.fna",2,0,2,0,0
"GCA_017996475.1_ASM1799647v1_genomic.fna",5,0,6,0,0
"GCA_017999755.1_ASM1799975v1_genomic.fna",2,0,2,0,0
"GCA_018220955.1_ASM1822095v1_genomic.fna",1,0,1,0,0
"GCA_018302205.1_ASM1830220v1_genomic.fna",0,0,0,0,0
"GCA_018648745.1_ASM1864874v1_genomic.fna",4,0,5,0,0
"GCA_018649855.1_ASM1864985v1_genomic.fna",1,0,1,0,0
"GCA_018651755.1_ASM1865175v1_genomic.fna",2,0,2,0,0
"GCA_018696395.1_ASM1869639v1_genomic.fna",3,0,4,0,0
"GCA_018818285.1_ASM1881828v1_genomic.fna",1,0,1,0,0
"GCA_018830945.1_ASM1883094v1_genomic.fna",6,0,6,0,0
"GCA_018896675.1_ASM1889667v1_genomic.fna",3,1,3,1,0
"GCA_018899405.1_ASM1889940v1_genomic.fna",2,0,2,0,0
"GCA_019651615.1_ASM1965161v1_genomic.fna",0,0,0,0,0
"GCA_020350365.1_ASM2035036v1_genomic.fna",2,0,2,0,0
"GCA_020854885.1_ASM2085488v1_genomic.fna",2,0,4,0,0
"GCA_021791175.1_ASM2179117v1_genomic.fna",0,0,0,0,0
"GCA_021797735.1_ASM2179773v1_genomic.fna",4,2,12,11,1
"GCA_021800035.1_ASM2180003v1_genomic.fna",4,4,100,16,3
"GCA_021802515.1_ASM2180251v1_genomic.fna",3,0,16,0,1
"GCA_021826925.1_ASM2182692v1_genomic.fna",1,0,1,0,0
"GCA_021827545.1_ASM2182754v1_genomic.fna",1,0,1,0,0
"GCA_021830455.1_ASM2183045v1_genomic.fna",2,0,2,0,0
"GCA_022449715.1_ASM2244971v1_genomic.fna",4,0,6,0,0
"GCA_022452065.1_ASM2245206v1_genomic.fna",4,0,5,0,0
"GCA_022750415.1_ASM2275041v1_genomic.fna",0,0,0,0,0
"GCA_022759205.1_ASM2275920v1_genomic.fna",0,0,0,0,0
"GCA_022866065.1_ASM2286606v1_genomic.fna",0,0,0,0,0
"GCA_023129985.1_ASM2312998v1_genomic.fna",3,0,5,0,0
"GCA_023130075.1_ASM2313007v1_genomic.fna",0,0,0,0,0
"GCA_023142885.1_ASM2314288v1_genomic.fna",1,0,1,0,0
"GCA_023381195.1_ASM2338119v1_genomic.fna",1,1,1,1,0
"GCA_023381395.1_ASM2338139v1_genomic.fna",2,0,2,0,0
"GCA_023425165.1_ASM2342516v1_genomic.fna",1,0,1,0,0
"GCA_023488885.1_ASM2348888v1_genomic.fna",0,0,0,0,0
"GCA_024230555.1_ASM2423055v1_genomic.fna",3,0,3,0,0
"GCA_024269055.1_ASM2426905v1_genomic.fna",6,0,11,0,0
"GCA_025450535.1_ASM2545053v1_genomic.fna",0,0,0,0,0
"GCA_025453795.1_ASM2545379v1_genomic.fna",1,0,1,0,0
"GCA_025922735.1_ASM2592273v1_genomic.fna",2,0,2,0,0
"GCA_025992465.1_ASM2599246v1_genomic.fna",6,1,33,8,1
"GCA_026708305.1_ASM2670830v1_genomic.fna",0,0,0,0,0
"GCA_027000075.1_ASM2700007v1_genomic.fna",1,3,16,15,1
"GCA_027015185.1_ASM2701518v1_genomic.fna",9,0,55,0,4
"GCA_027037275.1_ASM2703727v1_genomic.fna",13,2,86,4,8
"GCA_027038405.1_ASM2703840v1_genomic.fna",8,1,130,3,8
"GCA_027039065.1_ASM2703906v1_genomic.fna",0,0,0,0,0
"GCA_027045475.1_ASM2704547v1_genomic.fna",33,0,681,0,31
"GCA_027071635.1_ASM2707163v1_genomic.fna",0,0,0,0,0
"GCA_027072635.1_ASM2707263v1_genomic.fna",2,0,6,0,1
"GCA_027076415.1_ASM2707641v1_genomic.fna",8,0,101,0,5
"GCA_027081285.1_ASM2708128v1_genomic.fna",0,0,0,0,0
"GCA_027310085.1_ASM2731008v1_genomic.fna",0,0,0,0,0
"GCA_027312835.1_ASM2731283v1_genomic.fna",4,2,22,11,2
"GCA_027316675.1_ASM2731667v1_genomic.fna",2,2,2,11,0
"GCA_027329595.1_ASM2732959v1_genomic.fna",1,0,1,0,0
"GCA_027330385.1_ASM2733038v1_genomic.fna",0,0,0,0,0
"GCA_027330425.1_ASM2733042v1_genomic.fna",0,0,0,0,0
"GCA_027331205.1_ASM2733120v1_genomic.fna",0,0,0,0,0
"GCA_027331605.1_ASM2733160v1_genomic.fna",0,0,0,0,0
"GCA_027332665.1_ASM2733266v1_genomic.fna",0,0,0,0,0
"GCA_027333915.1_ASM2733391v1_genomic.fna",0,0,0,0,0
"GCA_027354265.1_ASM2735426v1_genomic.fna",1,0,1,0,0
"GCA_027369915.1_ASM2736991v1_genomic.fna",1,0,16,0,1
"GCA_027373415.1_ASM2737341v1_genomic.fna",2,0,13,0,1
"GCA_027374235.1_ASM2737423v1_genomic.fna",1,0,1,0,0
"GCA_027375315.1_ASM2737531v1_genomic.fna",0,0,0,0,0
"GCA_027377915.1_ASM2737791v1_genomic.fna",1,0,6,0,1
"GCA_027385915.1_ASM2738591v1_genomic.fna",8,4,80,4,5
