"genome","seqid","Cas_id","type","subtype"
"GCA_027084045.1_ASM2708404v1_genomic.fna","JALWLS010000175.1","JALWLS010000175.1@CAS:1","TypeI","TypeIA"
"GCA_027379725.1_ASM2737972v1_genomic.fna","DAIEZJ010000167.1","DAIEZJ010000167.1@CAS:1","CAS","CAS"
"GCA_027379725.1_ASM2737972v1_genomic.fna","DAIEZJ010000167.1","DAIEZJ010000167.1@CAS:2","TypeI","TypeIB"
"GCA_027381935.1_ASM2738193v1_genomic.fna","DAIFGR010000004.1","DAIFGR010000004.1@CAS:1","TypeI","TypeIC"
"GCA_937917535.1_SRR1562000_bin.76_CONCOCT_v1.1_MAG_genomic.fna","CALGIQ010000013.1","CALGIQ010000013.1@CAS:1","Type","TypeU"
"GCA_937920125.1_ERR2206759_bin.74_CONCOCT_v1.1_MAG_genomic.fna","CALGJM010000171.1","CALGJM010000171.1@CAS:1","CAS","CAS"
"GCF_000189555.1_ASM18955v1_genomic.fna","NC_017276.1","NC_017276.1@CAS:1","TypeIII","TypeIIIB"
"GCF_000189555.1_ASM18955v1_genomic.fna","NC_017276.1","NC_017276.1@CAS:2","TypeI","TypeIA"
"GCF_000189555.1_ASM18955v1_genomic.fna","NC_017276.1","NC_017276.1@CAS:3","TypeIII","TypeIIIB"
"GCF_000632495.1_AciCop1.0_genomic.fna","NZ_JFZT01000066.1","NZ_JFZT01000066.1@CAS:1","TypeI","TypeIA"
"GCF_000730285.1_ASM73028v1_genomic.fna","NZ_CP007174.1","NZ_CP007174.1@CAS:1","TypeI","TypeIB"
"GCF_001560085.1_GG12_C01_10_genomic.fna","NZ_LPRJ01000001.1","NZ_LPRJ01000001.1@CAS:1","CAS","CAS"
"GCF_001560085.1_GG12_C01_10_genomic.fna","NZ_LPRJ01000001.1","NZ_LPRJ01000001.1@CAS:2","TypeI","TypeIA"
"GCF_001560085.1_GG12_C01_10_genomic.fna","NZ_LPRJ01000001.1","NZ_LPRJ01000001.1@CAS:3","TypeI","TypeID"
"GCF_001560085.1_GG12_C01_10_genomic.fna","NZ_LPRJ01000008.1","NZ_LPRJ01000008.1@CAS:1","CAS","CAS"
"GCF_002215305.1_ASM221530v1_genomic.fna","NZ_MKFG01000015.1","NZ_MKFG01000015.1@CAS:1","CAS","CAS"
"GCF_002215305.1_ASM221530v1_genomic.fna","NZ_MKFG01000015.1","NZ_MKFG01000015.1@CAS:2","TypeI","TypeIB"
"GCF_002215305.1_ASM221530v1_genomic.fna","NZ_MKFG01000036.1","NZ_MKFG01000036.1@CAS:1","CAS","CAS"
"GCF_002215305.1_ASM221530v1_genomic.fna","NZ_MKFG01000036.1","NZ_MKFG01000036.1@CAS:2","TypeI","TypeIB"
"GCF_002487355.1_ASM248735v1_genomic.fna","NZ_NTMG01000023.1","NZ_NTMG01000023.1@CAS:1","CAS","CAS"
"GCF_002487355.1_ASM248735v1_genomic.fna","NZ_NTMG01000023.1","NZ_NTMG01000023.1@CAS:2","TypeI","TypeIB"
"GCF_002487355.1_ASM248735v1_genomic.fna","NZ_NTMG01000056.1","NZ_NTMG01000056.1@CAS:1","TypeI","TypeIE"
"GCF_002487355.1_ASM248735v1_genomic.fna","NZ_NTMG01000056.1","NZ_NTMG01000056.1@CAS:2","CAS","CAS"
"GCF_002487355.1_ASM248735v1_genomic.fna","NZ_NTMG01000056.1","NZ_NTMG01000056.1@CAS:3","TypeI","TypeIA"
"GCF_003711245.1_ASM371124v1_genomic.fna","NZ_CP017686.1","NZ_CP017686.1@CAS:1","Type","TypeU"
"GCF_005938085.1_ASM593808v1_genomic.fna","NZ_SMZK01000002.1","NZ_SMZK01000002.1@CAS:1","TypeI","TypeIB"
"GCF_012027515.1_ASM1202751v1_genomic.fna","NZ_SNUP01000001.1","NZ_SNUP01000001.1@CAS:1","TypeI","TypeIB"
"GCF_020804205.1_ASM2080420v1_genomic.fna","NZ_WJBJ01000019.1","NZ_WJBJ01000019.1@CAS:1","TypeIII","TypeIIIB"
"GCF_020804205.1_ASM2080420v1_genomic.fna","NZ_WJBJ01000034.1","NZ_WJBJ01000034.1@CAS:1","CAS","CAS"
"GCF_020804205.1_ASM2080420v1_genomic.fna","NZ_WJBJ01000020.1","NZ_WJBJ01000020.1@CAS:1","TypeI","TypeIC"
"GCF_020804205.1_ASM2080420v1_genomic.fna","NZ_WJBJ01000020.1","NZ_WJBJ01000020.1@CAS:2","TypeI","TypeIB"
"GCF_900650605.1_PRJEB30627_genomic.fna","NZ_CAABOX010000007.1","NZ_CAABOX010000007.1@CAS:1","CAS","CAS"
"GCA_002498745.1_ASM249874v1_genomic.fna","DAIO01000135.1","DAIO01000135.1@CAS:1","CAS","CAS"
"GCA_002498745.1_ASM249874v1_genomic.fna","DAIO01000127.1","DAIO01000127.1@CAS:1","CAS","CAS"
"GCA_002498745.1_ASM249874v1_genomic.fna","DAIO01000127.1","DAIO01000127.1@CAS:2","TypeI","TypeIB"
"GCA_002498745.1_ASM249874v1_genomic.fna","DAIO01000001.1","DAIO01000001.1@CAS:1","TypeI","TypeIU"
"GCA_002498745.1_ASM249874v1_genomic.fna","DAIO01000001.1","DAIO01000001.1@CAS:2","CAS","CAS"
"GCA_002498745.1_ASM249874v1_genomic.fna","DAIO01000001.1","DAIO01000001.1@CAS:3","TypeI","TypeID"
"GCA_002503785.1_ASM250378v1_genomic.fna","DASL01000010.1","DASL01000010.1@CAS:1","CAS","CAS"
"GCA_002503785.1_ASM250378v1_genomic.fna","DASL01000010.1","DASL01000010.1@CAS:2","TypeII","TypeIIA"
"GCA_002503785.1_ASM250378v1_genomic.fna","DASL01000010.1","DASL01000010.1@CAS:3","TypeII","TypeIIU"
"GCA_002508775.1_ASM250877v1_genomic.fna","DAFF01000052.1","DAFF01000052.1@CAS:1","CAS","CAS"
"GCA_002508775.1_ASM250877v1_genomic.fna","DAFF01000039.1","DAFF01000039.1@CAS:1","CAS","CAS"
"GCA_002508775.1_ASM250877v1_genomic.fna","DAFF01000039.1","DAFF01000039.1@CAS:2","TypeI","TypeID"
"GCA_005878955.1_ASM587895v1_genomic.fna","VBMI01000052.1","VBMI01000052.1@CAS:1","CAS","CAS"
"GCA_011050175.1_ASM1105017v1_genomic.fna","DRGF01000066.1","DRGF01000066.1@CAS:1","CAS","CAS"
"GCA_011050175.1_ASM1105017v1_genomic.fna","DRGF01000066.1","DRGF01000066.1@CAS:2","TypeIII","TypeIIIU"
"GCA_011050175.1_ASM1105017v1_genomic.fna","DRGF01000066.1","DRGF01000066.1@CAS:3","TypeI","TypeIB"
"GCA_011050175.1_ASM1105017v1_genomic.fna","DRGF01000066.1","DRGF01000066.1@CAS:4","TypeIII","TypeIIIA"
"GCA_013202845.1_ASM1320284v1_genomic.fna","JABMPT010000008.1","JABMPT010000008.1@CAS:1","CAS","CAS"
"GCA_014361425.1_ASM1436142v1_genomic.fna","JACIVO010000016.1","JACIVO010000016.1@CAS:1","CAS","CAS"
"GCA_014361425.1_ASM1436142v1_genomic.fna","JACIVO010000016.1","JACIVO010000016.1@CAS:2","TypeI","TypeIA"
"GCA_019058365.1_ASM1905836v1_genomic.fna","JAHPZE010000010.1","JAHPZE010000010.1@CAS:1","TypeI","TypeIB"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000042.1","JAJHRD010000042.1@CAS:1","TypeIII","TypeIIIU"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000042.1","JAJHRD010000042.1@CAS:2","TypeI","TypeIA"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000042.1","JAJHRD010000042.1@CAS:3","TypeIII","TypeIIIB"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000048.1","JAJHRD010000048.1@CAS:1","CAS","CAS"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000048.1","JAJHRD010000048.1@CAS:2","TypeIII","TypeIIIU"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000048.1","JAJHRD010000048.1@CAS:3","TypeIII","TypeIIIB"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000048.1","JAJHRD010000048.1@CAS:4","TypeIII","TypeIIIA"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000049.1","JAJHRD010000049.1@CAS:1","CAS","CAS"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000049.1","JAJHRD010000049.1@CAS:2","TypeI","TypeIA"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000085.1","JAJHRD010000085.1@CAS:1","TypeIII","TypeIIIB"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000052.1","JAJHRD010000052.1@CAS:1","CAS","CAS"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000052.1","JAJHRD010000052.1@CAS:2","TypeI","TypeIA"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000062.1","JAJHRD010000062.1@CAS:1","CAS","CAS"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000062.1","JAJHRD010000062.1@CAS:2","TypeIII","TypeIIIU"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000028.1","JAJHRD010000028.1@CAS:1","CAS","CAS"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000028.1","JAJHRD010000028.1@CAS:2","TypeI","TypeIA"
"GCA_020833005.1_ASM2083300v1_genomic.fna","JAJHRD010000030.1","JAJHRD010000030.1@CAS:1","TypeI","TypeIA"
"GCA_020854815.1_ASM2085481v1_genomic.fna","JAHKLW010000003.1","JAHKLW010000003.1@CAS:1","CAS","CAS"
"GCA_020854815.1_ASM2085481v1_genomic.fna","JAHKLW010000003.1","JAHKLW010000003.1@CAS:2","TypeI","TypeIB"
"GCA_021160905.1_ASM2116090v1_genomic.fna","JAGHBO010000068.1","JAGHBO010000068.1@CAS:1","CAS","CAS"
"GCA_021160905.1_ASM2116090v1_genomic.fna","JAGHBO010000036.1","JAGHBO010000036.1@CAS:1","CAS","CAS"
"GCA_021160905.1_ASM2116090v1_genomic.fna","JAGHBO010000036.1","JAGHBO010000036.1@CAS:2","TypeI","TypeIA"
"GCA_021498095.1_ASM2149809v1_genomic.fna","JAIZWK010000001.1","JAIZWK010000001.1@CAS:1","TypeIII","TypeIIIB"
"GCA_021498095.1_ASM2149809v1_genomic.fna","JAIZWK010000001.1","JAIZWK010000001.1@CAS:2","TypeI","TypeIB"
"GCA_021799215.1_ASM2179921v1_genomic.fna","JAJZAX010000001.1","JAJZAX010000001.1@CAS:1","TypeI","TypeIC"
"GCA_021799215.1_ASM2179921v1_genomic.fna","JAJZAX010000037.1","JAJZAX010000037.1@CAS:1","CAS","CAS"
"GCA_021799215.1_ASM2179921v1_genomic.fna","JAJZAX010000037.1","JAJZAX010000037.1@CAS:2","TypeI","TypeIC"
"GCA_021803615.1_ASM2180361v1_genomic.fna","JAJZLF010000751.1","JAJZLF010000751.1@CAS:1","CAS","CAS"
"GCA_021803615.1_ASM2180361v1_genomic.fna","JAJZLF010000751.1","JAJZLF010000751.1@CAS:2","TypeI","TypeIB"
"GCA_021803615.1_ASM2180361v1_genomic.fna","JAJZLF010000917.1","JAJZLF010000917.1@CAS:1","CAS","CAS"
"GCA_021803615.1_ASM2180361v1_genomic.fna","JAJZLF010000917.1","JAJZLF010000917.1@CAS:2","TypeI","TypeIB"
"GCA_021803615.1_ASM2180361v1_genomic.fna","JAJZLF010000004.1","JAJZLF010000004.1@CAS:1","CAS","CAS"
"GCA_021803615.1_ASM2180361v1_genomic.fna","JAJZLF010000004.1","JAJZLF010000004.1@CAS:2","TypeI","TypeIB"
"GCA_021803615.1_ASM2180361v1_genomic.fna","JAJZLF010000005.1","JAJZLF010000005.1@CAS:1","TypeI","TypeIU"
"GCA_021803615.1_ASM2180361v1_genomic.fna","JAJZLF010000005.1","JAJZLF010000005.1@CAS:2","CAS","CAS"
"GCA_021803615.1_ASM2180361v1_genomic.fna","JAJZLF010000005.1","JAJZLF010000005.1@CAS:3","TypeI","TypeID"
"GCA_026552875.1_ASM2655287v1_genomic.fna","JAPMTV010000001.1","JAPMTV010000001.1@CAS:1","CAS","CAS"
"GCA_026552875.1_ASM2655287v1_genomic.fna","JAPMTV010000001.1","JAPMTV010000001.1@CAS:2","TypeI","TypeIB"
"GCA_026552875.1_ASM2655287v1_genomic.fna","JAPMTV010000043.1","JAPMTV010000043.1@CAS:1","CAS","CAS"
"GCA_027040795.1_ASM2704079v1_genomic.fna","JALULE010000216.1","JALULE010000216.1@CAS:1","CAS","CAS"
"GCA_027040795.1_ASM2704079v1_genomic.fna","JALULE010000252.1","JALULE010000252.1@CAS:1","CAS","CAS"
"GCA_027344805.1_ASM2734480v1_genomic.fna","DAHWIV010000142.1","DAHWIV010000142.1@CAS:1","CAS","CAS"
"GCA_027367115.1_ASM2736711v1_genomic.fna","DAICVE010000031.1","DAICVE010000031.1@CAS:1","CAS","CAS"
"GCA_027367115.1_ASM2736711v1_genomic.fna","DAICVE010000031.1","DAICVE010000031.1@CAS:2","TypeI","TypeIB"
"GCA_902783085.1_Rumen_uncultured_genome_RUG12835_genomic.fna","CACZPT010000022.1","CACZPT010000022.1@CAS:1","CAS","CAS"
"GCA_902783085.1_Rumen_uncultured_genome_RUG12835_genomic.fna","CACZPT010000022.1","CACZPT010000022.1@CAS:2","TypeI","TypeIB"
"GCA_902784195.1_Rumen_uncultured_genome_RUG12946_genomic.fna","CACZTX010000003.1","CACZTX010000003.1@CAS:1","CAS","CAS"
"GCA_903917745.1_freshwater_MAG_---_AM-2014_bin-3762_genomic.fna","CAIXBN010000010.1","CAIXBN010000010.1@CAS:1","CAS","CAS"
"GCA_903917745.1_freshwater_MAG_---_AM-2014_bin-3762_genomic.fna","CAIXBN010000010.1","CAIXBN010000010.1@CAS:2","TypeI","TypeIB"
"GCA_937121375.1_ERR2683643_bin.15_CONCOCT_v1.1_MAG_genomic.fna","CAKZKF010000296.1","CAKZKF010000296.1@CAS:1","CAS","CAS"
"GCA_937121375.1_ERR2683643_bin.15_CONCOCT_v1.1_MAG_genomic.fna","CAKZKF010000296.1","CAKZKF010000296.1@CAS:2","TypeI","TypeIB"
"GCA_944320485.1_E27_bin288_genomic.fna","CALUHQ010000041.1","CALUHQ010000041.1@CAS:1","TypeI","TypeIE"
"GCA_944320485.1_E27_bin288_genomic.fna","CALUHQ010000041.1","CALUHQ010000041.1@CAS:2","CAS","CAS"
"GCF_000504565.1_ASM50456v2_genomic.fna","NC_023011.1","NC_023011.1@CAS:1","TypeI","TypeIB"
"GCF_001316105.1_ASM131610v1_genomic.fna","NZ_BBCP01000004.1","NZ_BBCP01000004.1@CAS:1","CAS","CAS"
"GCF_001559965.1_GG12_C01_03_genomic.fna","NZ_LPRE01000002.1","NZ_LPRE01000002.1@CAS:1","TypeI","TypeID"
"GCF_001559965.1_GG12_C01_03_genomic.fna","NZ_LPRE01000002.1","NZ_LPRE01000002.1@CAS:2","CAS","CAS"
"GCF_003383085.1_ASM338308v1_genomic.fna","NZ_PSYV01000007.1","NZ_PSYV01000007.1@CAS:1","CAS","CAS"
"GCF_003383085.1_ASM338308v1_genomic.fna","NZ_PSYV01000007.1","NZ_PSYV01000007.1@CAS:2","TypeI","TypeIB"
"GCF_005435095.1_ASM543509v1_genomic.fna","NZ_SGTY01000005.1","NZ_SGTY01000005.1@CAS:1","TypeI","TypeIB"
"GCF_009729055.1_ASM972905v1_genomic.fna","NZ_CP045484.1","NZ_CP045484.1@CAS:1","TypeIII","TypeIIIB"
"GCF_009729055.1_ASM972905v1_genomic.fna","NZ_CP045484.1","NZ_CP045484.1@CAS:2","TypeI","TypeIA"
"GCF_026616195.1_ASM2661619v1_genomic.fna","NZ_JANHDH010000004.1","NZ_JANHDH010000004.1@CAS:1","TypeI","TypeID"
"GCF_900188065.1_IMG-taxon_2724679803_annotated_assembly_genomic.fna","NZ_FZNQ01000021.1","NZ_FZNQ01000021.1@CAS:1","CAS","CAS"
"GCF_900188065.1_IMG-taxon_2724679803_annotated_assembly_genomic.fna","NZ_FZNQ01000021.1","NZ_FZNQ01000021.1@CAS:2","TypeI","TypeIB"
"GCA_001512375.1_ASM151237v1_genomic.fna","LFRN01000066.1","LFRN01000066.1@CAS:1","CAS","CAS"
"GCA_001587655.1_ASM158765v1_genomic.fna","LNGE01000061.1","LNGE01000061.1@CAS:1","CAS","CAS"
"GCA_001587655.1_ASM158765v1_genomic.fna","LNGE01000061.1","LNGE01000061.1@CAS:2","TypeI","TypeIB"
"GCA_002502635.1_ASM250263v1_genomic.fna","DAPZ01000027.1","DAPZ01000027.1@CAS:1","CAS","CAS"
"GCA_002502635.1_ASM250263v1_genomic.fna","DAPZ01000027.1","DAPZ01000027.1@CAS:2","TypeI","TypeIB"
"GCA_002506085.1_ASM250608v1_genomic.fna","DAWV01000004.1","DAWV01000004.1@CAS:1","CAS","CAS"
"GCA_002506085.1_ASM250608v1_genomic.fna","DAWV01000004.1","DAWV01000004.1@CAS:2","TypeI","TypeIC"
"GCA_007050175.1_ASM705017v1_genomic.fna","QFWB01000017.1","QFWB01000017.1@CAS:1","CAS","CAS"
"GCA_007050175.1_ASM705017v1_genomic.fna","QFWB01000044.1","QFWB01000044.1@CAS:1","TypeIII","TypeIIIU"
"GCA_007050175.1_ASM705017v1_genomic.fna","QFWB01000059.1","QFWB01000059.1@CAS:1","TypeIII","TypeIIIB"
"GCA_007050175.1_ASM705017v1_genomic.fna","QFWB01000060.1","QFWB01000060.1@CAS:1","CAS","CAS"
"GCA_007050175.1_ASM705017v1_genomic.fna","QFWB01000060.1","QFWB01000060.1@CAS:2","TypeI","TypeIA"
"GCA_007050175.1_ASM705017v1_genomic.fna","QFWB01000060.1","QFWB01000060.1@CAS:3","TypeI","TypeID"
"GCA_014237115.1_ASM1423711v1_genomic.fna","JAAXOG010000019.1","JAAXOG010000019.1@CAS:1","TypeI","TypeIA"
"GCA_014237115.1_ASM1423711v1_genomic.fna","JAAXOG010000039.1","JAAXOG010000039.1@CAS:1","CAS","CAS"
"GCA_014237115.1_ASM1423711v1_genomic.fna","JAAXOG010000039.1","JAAXOG010000039.1@CAS:2","TypeI","TypeIB"
"GCA_014237115.1_ASM1423711v1_genomic.fna","JAAXOG010000017.1","JAAXOG010000017.1@CAS:1","CAS","CAS"
"GCA_015521425.1_ASM1552142v1_genomic.fna","WAOE01000017.1","WAOE01000017.1@CAS:1","CAS","CAS"
"GCA_015521425.1_ASM1552142v1_genomic.fna","WAOE01000017.1","WAOE01000017.1@CAS:2","TypeI","TypeIA"
"GCA_015521425.1_ASM1552142v1_genomic.fna","WAOE01000017.1","WAOE01000017.1@CAS:3","TypeIII","TypeIIIB"
"GCA_015521425.1_ASM1552142v1_genomic.fna","WAOE01000017.1","WAOE01000017.1@CAS:4","TypeIII","TypeIIIA"
"GCA_016782145.1_ASM1678214v1_genomic.fna","JADDOX010000042.1","JADDOX010000042.1@CAS:1","CAS","CAS"
"GCA_018896675.1_ASM1889667v1_genomic.fna","JAHIMK010000070.1","JAHIMK010000070.1@CAS:1","CAS","CAS"
"GCA_021797735.1_ASM2179773v1_genomic.fna","JAJZZE010000035.1","JAJZZE010000035.1@CAS:1","CAS","CAS"
"GCA_021797735.1_ASM2179773v1_genomic.fna","JAJZZE010000035.1","JAJZZE010000035.1@CAS:2","TypeI","TypeIB"
"GCA_021800035.1_ASM2180003v1_genomic.fna","JAJYZJ010000025.1","JAJYZJ010000025.1@CAS:1","CAS","CAS"
"GCA_021800035.1_ASM2180003v1_genomic.fna","JAJYZJ010000025.1","JAJYZJ010000025.1@CAS:2","TypeI","TypeIB"
"GCA_021800035.1_ASM2180003v1_genomic.fna","JAJYZJ010000003.1","JAJYZJ010000003.1@CAS:1","TypeI","TypeIU"
"GCA_021800035.1_ASM2180003v1_genomic.fna","JAJYZJ010000014.1","JAJYZJ010000014.1@CAS:1","CAS","CAS"
"GCA_023381195.1_ASM2338119v1_genomic.fna","JAMCTT010000055.1","JAMCTT010000055.1@CAS:1","TypeI","TypeIA"
"GCA_025992465.1_ASM2599246v1_genomic.fna","DAJPGV010000001.1","DAJPGV010000001.1@CAS:1","TypeI","TypeIB"
"GCA_027000075.1_ASM2700007v1_genomic.fna","JALTOR010000035.1","JALTOR010000035.1@CAS:1","CAS","CAS"
"GCA_027000075.1_ASM2700007v1_genomic.fna","JALTOR010000035.1","JALTOR010000035.1@CAS:2","TypeI","TypeIB"
"GCA_027000075.1_ASM2700007v1_genomic.fna","JALTOR010000035.1","JALTOR010000035.1@CAS:3","TypeIII","TypeIIIB"
"GCA_027037275.1_ASM2703727v1_genomic.fna","JALWBI010000039.1","JALWBI010000039.1@CAS:1","CAS","CAS"
"GCA_027037275.1_ASM2703727v1_genomic.fna","JALWBI010000039.1","JALWBI010000039.1@CAS:2","TypeIII","TypeIIIU"
"GCA_027038405.1_ASM2703840v1_genomic.fna","JALVWN010000137.1","JALVWN010000137.1@CAS:1","CAS","CAS"
"GCA_027312835.1_ASM2731283v1_genomic.fna","DAICWE010000037.1","DAICWE010000037.1@CAS:1","CAS","CAS"
"GCA_027312835.1_ASM2731283v1_genomic.fna","DAICWE010000037.1","DAICWE010000037.1@CAS:2","TypeI","TypeIB"
"GCA_027316675.1_ASM2731667v1_genomic.fna","DAHVGD010000023.1","DAHVGD010000023.1@CAS:1","CAS","CAS"
"GCA_027316675.1_ASM2731667v1_genomic.fna","DAHVGD010000023.1","DAHVGD010000023.1@CAS:2","TypeI","TypeIB"
"GCA_027385915.1_ASM2738591v1_genomic.fna","DAHXUX010000258.1","DAHXUX010000258.1@CAS:1","CAS","CAS"
"GCA_027385915.1_ASM2738591v1_genomic.fna","DAHXUX010000262.1","DAHXUX010000262.1@CAS:1","TypeI","TypeIU"
"GCA_027385915.1_ASM2738591v1_genomic.fna","DAHXUX010000362.1","DAHXUX010000362.1@CAS:1","CAS","CAS"
"GCA_027385915.1_ASM2738591v1_genomic.fna","DAHXUX010000447.1","DAHXUX010000447.1@CAS:1","CAS","CAS"
"GCA_027491785.1_ASM2749178v1_genomic.fna","JAOZGJ010000066.1","JAOZGJ010000066.1@CAS:1","CAS","CAS"
"GCA_027491785.1_ASM2749178v1_genomic.fna","JAOZGJ010000066.1","JAOZGJ010000066.1@CAS:2","TypeI","TypeID"
"GCA_902812495.1_ASM90281249v1_genomic.fna","CADDZR010000005.1","CADDZR010000005.1@CAS:1","CAS","CAS"
"GCA_902812505.1_ASM90281250v1_genomic.fna","CADDZQ010000014.1","CADDZQ010000014.1@CAS:1","CAS","CAS"
"GCA_902812505.1_ASM90281250v1_genomic.fna","CADDZQ010000014.1","CADDZQ010000014.1@CAS:2","TypeI","TypeIA"
"GCA_902812505.1_ASM90281250v1_genomic.fna","CADDZQ010000095.1","CADDZQ010000095.1@CAS:1","CAS","CAS"
"GCA_902812505.1_ASM90281250v1_genomic.fna","CADDZQ010000095.1","CADDZQ010000095.1@CAS:2","TypeI","TypeIB"
"GCA_905206215.1_ERR1297821-mag-bin.15_genomic.fna","CAJLGO010000163.1","CAJLGO010000163.1@CAS:1","CAS","CAS"
