user_genome	is_ani_classification	class_tree_mapped	classification_rule
GCA_002180375.1_ASM218037v1_genomic	True	6	Rule 7
GCA_002292085.1_ASM229208v1_genomic	True	1	Rule 7
GCA_002295365.1_ASM229536v1_genomic	True	1	Rule 7
GCA_002307335.2_ASM230733v2_genomic	True	1	Rule 7
GCA_002311755.1_ASM231175v1_genomic	True	1	Rule 7
GCA_002321095.1_ASM232109v1_genomic	True	1	Rule 7
GCA_002321475.1_ASM232147v1_genomic	True	1	Rule 7
GCA_002321815.1_ASM232181v1_genomic	True	1	Rule 7
GCA_002325835.1_ASM232583v1_genomic	True	1	Rule 7
GCA_002331645.1_ASM233164v1_genomic	True	1	Rule 7
GCA_002335105.1_ASM233510v1_genomic	True	1	Rule 7
GCA_002337885.1_ASM233788v1_genomic	True	1	Rule 7
GCA_002338285.1_ASM233828v1_genomic	True	1	Rule 7
GCA_002340005.1_ASM234000v1_genomic	True	1	Rule 7
GCA_002341735.1_ASM234173v1_genomic	True	1	Rule 7
GCA_002358195.1_ASM235819v1_genomic	True	1	Rule 7
GCA_002362915.1_ASM236291v1_genomic	True	1	Rule 7
GCA_002363435.1_ASM236343v1_genomic	True	1	Rule 7
GCA_002378365.1_ASM237836v1_genomic	True	1	Rule 7
GCA_002378715.1_ASM237871v1_genomic	True	1	Rule 7
GCA_002378825.1_ASM237882v1_genomic	True	1	Rule 7
GCA_002380585.1_ASM238058v1_genomic	True	1	Rule 7
GCA_002387165.1_ASM238716v1_genomic	True	1	Rule 7
GCA_002387495.1_ASM238749v1_genomic	True	1	Rule 7
GCA_002388065.1_ASM238806v1_genomic	True	1	Rule 7
GCA_002388145.1_ASM238814v1_genomic	True	1	Rule 7
GCA_002389165.1_ASM238916v1_genomic	True	1	Rule 7
GCA_002392165.1_ASM239216v1_genomic	True	1	Rule 7
GCA_002403755.1_ASM240375v1_genomic	True	1	Rule 7
GCA_002421085.1_ASM242108v1_genomic	True	1	Rule 7
GCA_002421285.1_ASM242128v1_genomic	True	6	Rule 7
GCA_002425655.1_ASM242565v1_genomic	True	1	Rule 7
GCA_002438285.1_ASM243828v1_genomic	True	1	Rule 7
GCA_002451325.1_ASM245132v1_genomic	True	1	Rule 7
GCA_002455935.1_ASM245593v1_genomic	True	1	Rule 7
GCA_002471085.1_ASM247108v1_genomic	True	1	Rule 7
GCA_002479445.1_ASM247944v1_genomic	True	1	Rule 7
GCA_002484325.1_ASM248432v1_genomic	True	1	Rule 7
GCA_002634385.1_ASM263438v1_genomic	True	7	Rule 7
GCA_002737975.1_ASM273797v1_genomic	True	6	Rule 7
GCA_002738065.1_ASM273806v1_genomic	True	6	Rule 7
GCA_002759525.1_ASM275952v1_genomic	True	6	Rule 7
GCA_002759555.1_ASM275955v1_genomic	True	6	Rule 7
GCA_002759595.1_ASM275959v1_genomic	True	6	Rule 7
GCA_002759815.1_ASM275981v1_genomic	True	6	Rule 7
GCA_002759975.1_ASM275997v1_genomic	True	6	Rule 7
GCA_002759985.1_ASM275998v1_genomic	True	6	Rule 7
GCA_002856835.1_ASM285683v1_genomic	True	1	Rule 7
GCA_002881395.1_ASM288139v1_genomic	True	6	Rule 7
GCA_002881555.1_ASM288155v1_genomic	True	6	Rule 7
GCA_002881575.1_ASM288157v1_genomic	True	6	Rule 7
GCA_002881595.1_ASM288159v1_genomic	True	6	Rule 7
GCA_002881935.1_ASM288193v1_genomic	True	6	Rule 7
GCA_002913825.1_ASM291382v1_genomic	True	4	Rule 7
GCA_003001655.1_ASM300165v1_genomic	True	1	Rule 7
GCA_003085915.1_ASM308591v1_genomic	True	1	Rule 7
GCA_003086015.1_ASM308601v1_genomic	True	1	Rule 7
GCA_003174015.1_ASM317401v1_genomic	True	6	Rule 7
GCA_003174095.1_ASM317409v1_genomic	True	6	Rule 7
GCA_003174255.1_ASM317425v1_genomic	True	6	Rule 7
GCA_003174285.1_ASM317428v1_genomic	True	6	Rule 7
GCA_003174295.1_ASM317429v1_genomic	True	6	Rule 7
GCA_003174395.1_ASM317439v1_genomic	True	6	Rule 7
GCA_003174475.1_ASM317447v1_genomic	True	6	Rule 7
GCA_003174555.1_ASM317455v1_genomic	True	6	Rule 7
GCA_003174575.1_ASM317457v1_genomic	True	6	Rule 7
GCA_003174615.1_ASM317461v1_genomic	True	6	Rule 7
GCA_003174775.1_ASM317477v1_genomic	True	6	Rule 7
GCA_003176595.1_ASM317659v1_genomic	True	1	Rule 7
GCA_003241075.1_ASM324107v1_genomic	True	4	Rule 7
GCA_003295695.1_ASM329569v1_genomic	True	1	Rule 7
GCA_003296985.1_ASM329698v1_genomic	True	1	Rule 7
GCA_003299835.1_ASM329983v1_genomic	True	1	Rule 7
GCA_003447395.1_ASM344739v1_genomic	True	3	Rule 7
GCA_003456235.1_ASM345623v1_genomic	True	7	Rule 7
GCA_003456605.1_ASM345660v1_genomic	True	7	Rule 7
GCA_003466665.1_ASM346666v1_genomic	True	3	Rule 7
GCA_003468485.1_ASM346848v1_genomic	True	3	Rule 7
GCA_003474005.1_ASM347400v1_genomic	True	3	Rule 7
GCA_003486545.1_ASM348654v1_genomic	True	3	Rule 7
GCA_003487065.1_ASM348706v1_genomic	True	3	Rule 7
GCA_003504165.1_ASM350416v1_genomic	True	3	Rule 7
GCA_003512935.1_ASM351293v1_genomic	True	6	Rule 7
GCA_003514405.1_ASM351440v1_genomic	True	3	Rule 7
GCA_003515305.1_ASM351530v1_genomic	True	1	Rule 7
GCA_003515385.1_ASM351538v1_genomic	True	1	Rule 7
GCA_003521625.1_ASM352162v1_genomic	True	2	Rule 7
GCA_003527745.1_ASM352774v1_genomic	True	3	Rule 7
GCA_003535095.1_ASM353509v1_genomic	True	2	Rule 7
GCA_003538935.1_ASM353893v1_genomic	True	2	Rule 7
GCA_003545565.1_ASM354556v1_genomic	True	3	Rule 7
GCA_003576955.1_ASM357695v1_genomic	True	7	Rule 7
GCA_003734065.1_PDT000396382.1_genomic	True	1	Rule 7
GCA_003772185.1_PDT000400053.1_genomic	True	1	Rule 7
GCA_003794065.1_PDT000395173.1_genomic	True	1	Rule 7
GCA_003934435.1_ASM393443v1_genomic	True	6	Rule 7
GCA_004165235.1_PDT000325833.1_genomic	True	1	Rule 7
GCA_004276495.1_PDT000403430.1_genomic	True	4	Rule 7
GCA_004347655.1_ASM434765v1_genomic	True	3	Rule 7
GCA_004351915.1_ASM435191v1_genomic	True	1	Rule 7
GCA_004352015.1_ASM435201v1_genomic	True	1	Rule 7
GCA_004399595.1_PDT000029680.3_genomic	True	6	Rule 7
GCA_004408545.1_PDT000225620.2_genomic	True	6	Rule 7
GCA_004436605.1_PDT000040072.2_genomic	True	6	Rule 7
GCA_004440325.1_PDT000001623.3_genomic	True	6	Rule 7
GCA_004447205.1_PDT000047535.2_genomic	True	6	Rule 7
GCA_004508005.1_PDT000024542.3_genomic	True	6	Rule 7
GCA_004515785.1_PDT000131945.2_genomic	True	6	Rule 7
GCA_004552535.1_ASM455253v1_genomic	True	2	Rule 7
GCA_004554805.1_ASM455480v1_genomic	True	2	Rule 7
GCA_004555265.1_ASM455526v1_genomic	True	2	Rule 7
GCA_004558485.1_ASM455848v1_genomic	True	2	Rule 7
GCA_004583015.1_PDT000156431.2_genomic	True	6	Rule 7
GCA_004593835.1_PDT000184529.2_genomic	True	6	Rule 7
GCA_004607955.1_PDT000233452.2_genomic	True	6	Rule 7
GCA_004609995.1_PDT000237182.2_genomic	True	6	Rule 7
GCA_004627335.1_PDT000270699.2_genomic	True	6	Rule 7
GCA_004648225.1_PDT000101436.2_genomic	True	6	Rule 7
GCA_004656425.1_PDT000112894.2_genomic	True	6	Rule 7
GCA_004696745.1_PDT000208459.2_genomic	True	6	Rule 7
GCA_004719405.1_PDT000153927.3_genomic	True	6	Rule 7
GCA_004723065.1_PDT000291478.3_genomic	True	6	Rule 7
GCA_004757785.1_PDT000379812.2_genomic	True	6	Rule 7
GCA_004760185.1_PDT000380430.2_genomic	True	6	Rule 7
GCA_004812515.1_PDT000387148.1_genomic	True	4	Rule 7
GCA_004829185.1_PDT000413711.1_genomic	True	4	Rule 7
GCA_004829845.1_PDT000385050.2_genomic	True	4	Rule 7
GCA_004892535.1_PDT000411120.1_genomic	True	4	Rule 7
GCA_004901755.1_PDT000478360.1_genomic	True	4	Rule 7
GCA_004909535.1_PDT000479778.1_genomic	True	4	Rule 7
GCA_004916515.1_PDT000420934.1_genomic	True	4	Rule 7
GCA_004923855.1_PDT000051328.2_genomic	True	4	Rule 7
GCA_004945625.1_PDT000195310.2_genomic	True	4	Rule 7
GCA_004952065.1_PDT000208493.2_genomic	True	4	Rule 7
GCA_004956805.1_PDT000224371.2_genomic	True	4	Rule 7
GCA_004975385.1_PDT000245248.2_genomic	True	4	Rule 7
GCA_004994325.1_PDT000281124.2_genomic	True	4	Rule 7
GCA_005002035.1_PDT000225277.2_genomic	True	4	Rule 7
GCA_005005235.1_PDT000148338.2_genomic	True	4	Rule 7
GCA_005005555.1_PDT000063045.2_genomic	True	4	Rule 7
GCA_005005635.1_PDT000063035.2_genomic	True	4	Rule 7
GCA_005010035.1_PDT000199993.2_genomic	True	4	Rule 7
GCA_005014295.1_PDT000113433.2_genomic	True	4	Rule 7
GCA_005034335.1_PDT000272523.2_genomic	True	4	Rule 7
GCA_005058225.1_PDT000308903.2_genomic	True	4	Rule 7
GCA_005071365.1_PDT000315363.2_genomic	True	4	Rule 7
GCA_005079505.1_PDT000192032.2_genomic	True	4	Rule 7
GCA_005085025.1_PDT000179405.2_genomic	True	4	Rule 7
GCA_005117975.1_PDT000176562.2_genomic	True	4	Rule 7
GCA_005120405.1_PDT000184337.2_genomic	True	4	Rule 7
GCA_005133545.1_PDT000062801.2_genomic	True	4	Rule 7
GCA_005135965.2_ASM513596v2_genomic	True	4	Rule 7
GCA_005138885.1_PDT000113437.2_genomic	True	4	Rule 7
GCA_005140905.1_PDT000113546.2_genomic	True	4	Rule 7
GCA_005172185.1_PDT000294585.2_genomic	True	4	Rule 7
GCA_005172385.1_PDT000193182.2_genomic	True	4	Rule 7
GCA_005185525.1_PDT000262115.2_genomic	True	4	Rule 7
GCA_005202455.1_PDT000485616.1_genomic	True	4	Rule 7
GCA_005228255.1_PDT000489114.1_genomic	True	4	Rule 7
GCA_005229595.1_PDT000489080.1_genomic	True	4	Rule 7
GCA_005239945.1_ASM523994v1_genomic	True	7	Rule 7
GCA_005252225.1_PDT000113441.2_genomic	True	4	Rule 7
GCA_005255925.1_PDT000175684.2_genomic	True	4	Rule 7
GCA_005286685.1_PDT000113435.2_genomic	True	4	Rule 7
GCA_005289085.1_PDT000123808.2_genomic	True	4	Rule 7
GCA_005346945.1_PDT000355125.1_genomic	True	4	Rule 7
GCA_005358125.1_PDT000363182.1_genomic	True	4	Rule 7
GCA_005379585.1_PDT000376770.1_genomic	True	4	Rule 7
GCA_005479215.1_PDT000432213.1_genomic	True	1	Rule 7
GCA_005521575.1_PDT000500896.1_genomic	True	4	Rule 7
GCA_005522735.1_PDT000501537.1_genomic	True	4	Rule 7
GCA_005547955.1_PDT000390510.1_genomic	True	1	Rule 7
GCA_005794125.1_PDT000403105.1_genomic	True	1	Rule 7
GCA_005856005.1_PDT000491766.1_genomic	True	1	Rule 7
GCA_005960725.1_PDT000110614.2_genomic	True	1	Rule 7
GCA_005968125.1_PDT000142704.2_genomic	True	1	Rule 7
GCA_006354835.1_PDT000520376.1_genomic	True	6	Rule 7
GCA_006730505.1_PDT000362929.1_genomic	True	1	Rule 7
GCA_006910865.1_PDT000148313.2_genomic	True	1	Rule 7
GCA_007104325.1_PDT000272521.2_genomic	True	1	Rule 7
GCA_007429965.1_PDT000468347.1_genomic	True	1	Rule 7
GCA_007458935.1_PDT000541643.1_genomic	True	4	Rule 7
GCA_007485965.1_PDT000297056.2_genomic	True	1	Rule 7
GCA_007546955.1_PDT000031373.3_genomic	True	1	Rule 7
GCA_007550615.1_PDT000253965.2_genomic	True	1	Rule 7
GCA_007674075.1_ASM767407v1_genomic	True	6	Rule 7
GCA_007709605.1_PDT000547000.1_genomic	True	1	Rule 7
GCA_007723225.1_PDT000547707.1_genomic	True	1	Rule 7
GCA_007956905.1_PDT000556238.1_genomic	True	4	Rule 7
GCA_008162485.1_PDT000569356.1_genomic	True	1	Rule 7
GCA_008203065.1_PDT000558565.1_genomic	True	4	Rule 7
GCA_008218425.1_PDT000559488.1_genomic	True	4	Rule 7
GCA_008261725.1_PDT000576589.1_genomic	True	4	Rule 7
GCA_008288255.1_PDT000576330.1_genomic	True	4	Rule 7
GCA_008311505.1_PDT000578564.1_genomic	True	4	Rule 7
GCA_008332465.1_PDT000578442.1_genomic	True	4	Rule 7
GCA_008347645.1_PDT000579918.1_genomic	True	4	Rule 7
GCA_008486445.1_PDT000221192.2_genomic	True	1	Rule 7
GCA_008569415.1_ASM856941v1_genomic	True	3	Rule 7
GCA_008569465.1_ASM856946v1_genomic	True	3	Rule 7
GCA_008569495.1_ASM856949v1_genomic	True	3	Rule 7
GCA_008569705.1_ASM856970v1_genomic	True	3	Rule 7
GCA_008570635.1_ASM857063v1_genomic	True	3	Rule 7
GCA_008571275.1_ASM857127v1_genomic	True	3	Rule 7
GCA_008595545.1_PDT000276500.2_genomic	True	1	Rule 7
GCA_008671405.1_ASM867140v1_genomic	True	2	Rule 7
GCA_008671585.1_ASM867158v1_genomic	True	2	Rule 7
GCA_008671835.1_ASM867183v1_genomic	True	8	Rule 7
GCA_008672035.1_ASM867203v1_genomic	True	8	Rule 7
GCA_008672205.1_ASM867220v1_genomic	True	8	Rule 7
GCA_008679475.1_ASM867947v1_genomic	True	3	Rule 7
GCA_008680425.1_ASM868042v1_genomic	True	3	Rule 7
GCA_008681075.1_ASM868107v1_genomic	True	3	Rule 7
GCA_008771075.1_PDT000595030.1_genomic	True	4	Rule 7
GCA_008780875.1_PDT000594759.1_genomic	True	4	Rule 7
GCA_008788015.1_PDT000594271.1_genomic	True	1	Rule 7
GCA_008826685.1_PDT000599011.1_genomic	True	4	Rule 7
GCA_008828065.1_PDT000599075.1_genomic	True	4	Rule 7
GCA_008841605.1_PDT000601016.1_genomic	True	4	Rule 7
GCA_008956745.1_PDT000602614.1_genomic	True	4	Rule 7
GCA_009017935.1_ASM901793v1_genomic	True	3	Rule 7
GCA_009018975.1_ASM901897v1_genomic	True	3	Rule 7
GCA_009021415.1_ASM902141v1_genomic	True	3	Rule 7
GCA_009021435.1_ASM902143v1_genomic	True	3	Rule 7
GCA_009021515.1_ASM902151v1_genomic	True	3	Rule 7
GCA_009021635.1_ASM902163v1_genomic	True	3	Rule 7
GCA_009021705.1_ASM902170v1_genomic	True	3	Rule 7
GCA_009021805.1_ASM902180v1_genomic	True	3	Rule 7
GCA_009022085.1_ASM902208v1_genomic	True	3	Rule 7
GCA_009022275.1_ASM902227v1_genomic	True	3	Rule 7
GCA_009022315.1_ASM902231v1_genomic	True	3	Rule 7
GCA_009022475.1_ASM902247v1_genomic	True	3	Rule 7
GCA_009022515.1_ASM902251v1_genomic	True	3	Rule 7
GCA_009022655.1_ASM902265v1_genomic	True	3	Rule 7
GCA_009023235.1_ASM902323v1_genomic	True	3	Rule 7
GCA_009023255.1_ASM902325v1_genomic	True	3	Rule 7
GCA_009023275.1_ASM902327v1_genomic	True	3	Rule 7
GCA_009023355.1_ASM902335v1_genomic	True	3	Rule 7
GCA_009023415.1_ASM902341v1_genomic	True	3	Rule 7
GCA_009023615.1_ASM902361v1_genomic	True	3	Rule 7
GCA_009023865.1_ASM902386v1_genomic	True	3	Rule 7
GCA_009024355.1_ASM902435v1_genomic	True	3	Rule 7
GCA_009024435.1_ASM902443v1_genomic	True	3	Rule 7
GCA_009024735.1_ASM902473v1_genomic	True	3	Rule 7
GCA_009107745.1_ASM910774v1_genomic	True	3	Rule 7
GCA_009149805.1_PDT000608561.1_genomic	True	4	Rule 7
GCA_009198305.1_PDT000533629.2_genomic	True	6	Rule 7
GCA_009227805.1_PDT000610498.1_genomic	True	1	Rule 7
GCA_009272565.1_PDT000419179.2_genomic	True	6	Rule 7
GCA_009304435.1_PDT000419007.2_genomic	True	6	Rule 7
GCA_009410205.1_PDT000619288.1_genomic	True	6	Rule 7
GCA_009419965.1_PDT000419147.2_genomic	True	6	Rule 7
GCA_009445985.1_PDT000420015.2_genomic	True	6	Rule 7
GCA_009516345.1_PDT000251080.2_genomic	True	1	Rule 7
GCA_009558255.1_PDT000250511.2_genomic	True	1	Rule 7
GCA_009576365.1_PDT000266751.2_genomic	True	1	Rule 7
GCA_009594835.1_ASM959483v1_genomic	True	7	Rule 7
GCA_009594855.1_ASM959485v1_genomic	True	7	Rule 7
GCA_009594945.1_ASM959494v1_genomic	True	7	Rule 7
GCA_009611335.1_PDT000456618.2_genomic	True	6	Rule 7
GCA_009711815.1_ASM971181v1_genomic	True	1	Rule 7
GCA_009718885.1_ASM971888v1_genomic	True	1	Rule 7
GCA_009718905.1_ASM971890v1_genomic	True	1	Rule 7
GCA_009773855.1_ASM977385v1_genomic	True	8	Rule 7
GCA_009775685.1_ASM977568v1_genomic	True	3	Rule 7
GCA_009821335.1_ASM982133v1_genomic	True	1	Rule 7
GCA_009936195.2_ASM993619v2_genomic	True	6	Rule 7
GCA_010017665.1_PDT000646019.1_genomic	True	6	Rule 7
GCA_010071745.1_PDT000097573.3_genomic	True	6	Rule 7
GCA_010096125.1_PDT000126080.2_genomic	True	6	Rule 7
GCA_010101375.1_PDT000153459.2_genomic	True	6	Rule 7
GCA_010137075.1_ASM1013707v1_genomic	True	6	Rule 7
GCA_010138115.1_ASM1013811v1_genomic	True	6	Rule 7
GCA_010138445.1_ASM1013844v1_genomic	True	6	Rule 7
GCA_010138975.1_ASM1013897v1_genomic	True	6	Rule 7
GCA_010139375.1_ASM1013937v1_genomic	True	6	Rule 7
GCA_010166345.1_ASM1016634v1_genomic	True	6	Rule 7
GCA_010166475.1_ASM1016647v1_genomic	True	6	Rule 7
GCA_010166795.1_ASM1016679v1_genomic	True	6	Rule 7
GCA_010171775.1_ASM1017177v1_genomic	True	6	Rule 7
GCA_010172865.1_ASM1017286v1_genomic	True	6	Rule 7
GCA_010173095.1_ASM1017309v1_genomic	True	6	Rule 7
GCA_010214215.1_PDT000634774.1_genomic	True	4	Rule 7
GCA_010226835.1_PDT000654285.1_genomic	True	4	Rule 7
GCA_010265735.1_PDT000629846.1_genomic	True	4	Rule 7
GCA_010305845.1_PDT000660126.1_genomic	True	4	Rule 7
GCA_010316765.1_PDT000565220.1_genomic	True	4	Rule 7
GCA_010336045.1_PDT000564602.1_genomic	True	4	Rule 7
GCA_010339815.1_PDT000567017.1_genomic	True	4	Rule 7
GCA_010357165.1_PDT000677643.1_genomic	True	4	Rule 7
GCA_010360885.1_PDT000655304.1_genomic	True	4	Rule 7
GCA_010362205.1_PDT000653507.1_genomic	True	4	Rule 7
GCA_010373565.1_PDT000053834.2_genomic	True	1	Rule 7
GCA_010375675.1_ASM1037567v1_genomic	True	1	Rule 7
GCA_010375785.1_ASM1037578v1_genomic	True	1	Rule 7
GCA_010375925.1_ASM1037592v1_genomic	True	1	Rule 7
GCA_010375995.1_ASM1037599v1_genomic	True	1	Rule 7
GCA_010376875.1_ASM1037687v1_genomic	True	1	Rule 7
GCA_010378065.1_ASM1037806v1_genomic	True	1	Rule 7
GCA_010435995.1_ASM1043599v1_genomic	True	1	Rule 7
GCA_010436005.1_ASM1043600v1_genomic	True	1	Rule 7
GCA_010436015.1_ASM1043601v1_genomic	True	1	Rule 7
GCA_010497885.1_PDT000043349.5_genomic	True	1	Rule 7
GCA_010566945.1_PDT000288300.2_genomic	True	1	Rule 7
GCA_010597605.1_ASM1059760v1_genomic	True	1	Rule 7
GCA_010630825.1_PDT000259448.2_genomic	True	1	Rule 7
GCA_010744755.1_PDT000653542.1_genomic	True	1	Rule 7
GCA_010773755.1_PDT000259722.2_genomic	True	1	Rule 7
GCA_010904985.1_PDT000682407.1_genomic	True	4	Rule 7
GCA_010985555.1_PDT000687525.1_genomic	True	6	Rule 7
GCA_010993315.1_PDT000687790.1_genomic	True	4	Rule 7
GCA_011053095.1_ASM1105309v1_genomic	True	3	Rule 7
GCA_011074055.1_PDT000705942.1_genomic	True	4	Rule 7
GCA_011110255.1_PDT000002825.3_genomic	True	1	Rule 7
GCA_011277165.1_PDT000682661.1_genomic	True	1	Rule 7
GCA_011500725.1_PDT000703349.1_genomic	True	4	Rule 7
GCA_011523385.1_ASM1152338v1_genomic	True	7	Rule 7
GCA_011711855.1_PDT000709659.1_genomic	True	4	Rule 7
GCA_011830735.1_PDT000627273.2_genomic	True	1	Rule 7
GCA_011909965.1_PDT000546438.2_genomic	True	1	Rule 7
GCA_011988905.1_PDT000718090.1_genomic	True	4	Rule 7
GCA_011993725.1_PDT000717872.1_genomic	True	4	Rule 7
GCA_012032965.1_ASM1203296v1_genomic	True	7	Rule 7
GCA_012036805.1_ASM1203680v1_genomic	True	1	Rule 7
GCA_012319465.1_PDT000482180.1_genomic	True	1	Rule 7
GCA_012565425.1_PDT000156959.3_genomic	True	1	Rule 7
GCA_012784055.1_PDT000725525.1_genomic	True	4	Rule 7
GCA_012862275.1_PDT000713843.1_genomic	True	1	Rule 7
GCA_012912725.1_PDT000727400.1_genomic	True	4	Rule 7
GCA_013116295.1_PDT000736047.1_genomic	True	1	Rule 7
GCA_013123665.1_PDT000733313.1_genomic	True	4	Rule 7
GCA_013125105.1_PDT000733309.1_genomic	True	4	Rule 7
GCA_013140455.1_ASM1314045v1_genomic	True	7	Rule 7
GCA_013147365.1_PDT000743291.1_genomic	True	4	Rule 7
GCA_013189675.1_ASM1318967v1_genomic	True	6	Rule 7
GCA_013190485.1_ASM1319048v1_genomic	True	6	Rule 7
GCA_013191375.1_ASM1319137v1_genomic	True	6	Rule 7
GCA_013191405.1_ASM1319140v1_genomic	True	6	Rule 7
GCA_013191865.1_ASM1319186v1_genomic	True	6	Rule 7
GCA_013192185.1_ASM1319218v1_genomic	False	6	Rule 2
GCA_013192375.1_ASM1319237v1_genomic	True	6	Rule 7
GCA_013193275.1_ASM1319327v1_genomic	True	6	Rule 7
GCA_013193765.1_ASM1319376v1_genomic	True	6	Rule 7
GCA_013195575.1_ASM1319557v1_genomic	True	6	Rule 7
GCA_013195905.1_ASM1319590v1_genomic	True	6	Rule 7
GCA_013196575.1_ASM1319657v1_genomic	True	6	Rule 7
GCA_013197925.1_ASM1319792v1_genomic	True	6	Rule 7
GCA_013198595.1_ASM1319859v1_genomic	True	6	Rule 7
GCA_013198795.1_ASM1319879v1_genomic	True	6	Rule 7
GCA_013198815.1_ASM1319881v1_genomic	True	6	Rule 7
GCA_013198895.1_ASM1319889v1_genomic	True	6	Rule 7
GCA_013200095.1_ASM1320009v1_genomic	True	6	Rule 7
GCA_013200605.1_ASM1320060v1_genomic	True	6	Rule 7
GCA_013268195.1_ASM1326819v1_genomic	True	6	Rule 7
GCA_013268235.1_ASM1326823v1_genomic	True	6	Rule 7
GCA_013307815.1_ASM1330781v1_genomic	True	6	Rule 7
GCA_013309205.1_ASM1330920v1_genomic	True	6	Rule 7
GCA_013311975.1_ASM1331197v1_genomic	True	6	Rule 7
GCA_013313755.1_ASM1331375v1_genomic	True	6	Rule 7
GCA_013314005.1_ASM1331400v1_genomic	True	6	Rule 7
GCA_013314215.1_ASM1331421v1_genomic	True	6	Rule 7
GCA_013320115.1_ASM1332011v1_genomic	True	6	Rule 7
GCA_013322355.1_ASM1332235v1_genomic	True	6	Rule 7
GCA_013322385.1_ASM1332238v1_genomic	True	6	Rule 7
GCA_013322815.1_ASM1332281v1_genomic	True	6	Rule 7
GCA_013326515.1_ASM1332651v1_genomic	True	6	Rule 7
GCA_013371415.1_ASM1337141v1_genomic	True	6	Rule 7
GCA_013543375.1_PDT000781788.1_genomic	True	6	Rule 7
GCA_013670895.1_PDT000770466.1_genomic	True	6	Rule 7
GCA_013709095.1_PDT000795970.1_genomic	True	1	Rule 7
GCA_013717645.1_PDT000764741.1_genomic	True	4	Rule 7
GCA_013718185.1_PDT000764723.1_genomic	True	4	Rule 7
GCA_013736615.1_ASM1373661v1_genomic	True	1	Rule 7
GCA_013750175.1_ASM1375017v1_genomic	True	1	Rule 7
GCA_013815965.1_ASM1381596v1_genomic	True	7	Rule 7
GCA_014174835.1_PDT000807651.2_genomic	True	1	Rule 7
GCA_014258345.1_PDT000817259.1_genomic	True	4	Rule 7
GCA_014318515.1_PDT000821312.1_genomic	True	6	Rule 7
GCA_014339075.1_PDT000826874.1_genomic	True	4	Rule 7
GCA_014371945.1_PDT000783765.1_genomic	True	4	Rule 7
GCA_014466435.1_PDT000828605.1_genomic	True	4	Rule 7
GCA_014737275.1_PDT000844062.1_genomic	True	1	Rule 7
GCA_014801245.1_ASM1480124v1_genomic	True	3	Rule 7
GCA_014801875.1_ASM1480187v1_genomic	True	3	Rule 7
GCA_014802025.1_ASM1480202v1_genomic	True	3	Rule 7
GCA_014802045.1_ASM1480204v1_genomic	True	3	Rule 7
GCA_014802115.1_ASM1480211v1_genomic	True	3	Rule 7
GCA_014802325.1_ASM1480232v1_genomic	True	3	Rule 7
GCA_014803785.1_ASM1480378v1_genomic	False	3	Rule 2
GCA_014833735.1_ASM1483373v1_genomic	True	1	Rule 7
GCA_014845805.1_ASM1484580v1_genomic	True	3	Rule 7
