genome	taxid	species	kingdom	crispr_strict	gram
GCA_027028645.1_ASM2702864v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_negative	Gram-negative
GCA_023256055.1_ASM2325605v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027048375.1_ASM2704837v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027017125.1_ASM2701712v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027000745.1_ASM2700074v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027059025.1_ASM2705902v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027030065.1_ASM2703006v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027034495.1_ASM2703449v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027012085.1_ASM2701208v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_negative	Gram-negative
GCA_026997135.1_ASM2699713v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_negative	Gram-negative
GCA_027002995.1_ASM2700299v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_positive	Gram-negative
GCA_015521075.1_ASM1552107v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027034615.1_ASM2703461v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_positive	Gram-negative
GCA_015521325.1_ASM1552132v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_positive	Gram-negative
GCA_026998705.1_ASM2699870v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_positive	Gram-negative
GCA_015520735.1_ASM1552073v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027014105.1_ASM2701410v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027052655.1_ASM2705265v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027077085.1_ASM2707708v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027081755.1_ASM2708175v1_genomic.fna	2480821	Desulfurococcales archaeon	Archaea	crispr_positive	Gram-negative
GCA_027011735.1_ASM2701173v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_negative	Gram-negative
GCA_027081655.1_ASM2708165v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_negative	Gram-negative
GCA_027049955.1_ASM2704995v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_negative	Gram-negative
GCA_027004565.1_ASM2700456v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_negative	Gram-negative
GCA_027027805.1_ASM2702780v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_negative	Gram-negative
GCA_027043325.1_ASM2704332v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_negative	Gram-negative
GCA_027062125.1_ASM2706212v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_negative	Gram-negative
GCA_027065405.1_ASM2706540v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_negative	Gram-negative
GCA_027068495.1_ASM2706849v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_negative	Gram-negative
GCA_027003975.1_ASM2700397v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_negative	Gram-negative
GCA_026988555.1_ASM2698855v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_positive	Gram-negative
GCA_026983155.1_ASM2698315v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_positive	Gram-negative
GCA_027068575.1_ASM2706857v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_positive	Gram-negative
GCA_027012695.1_ASM2701269v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_positive	Gram-negative
GCA_026991495.1_ASM2699149v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_positive	Gram-negative
GCA_027023865.1_ASM2702386v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_positive	Gram-negative
GCA_027003895.1_ASM2700389v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_positive	Gram-negative
GCA_027024105.1_ASM2702410v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_positive	Gram-negative
GCA_014361105.1_ASM1436110v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_positive	Gram-negative
GCA_015521605.1_ASM1552160v1_genomic.fna	35749	Thermococcus sp.	Archaea	crispr_positive	Gram-negative
GCA_011042415.1_ASM1104241v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_026014745.1_ASM2601474v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_903865415.1_freshwater_MAG_---_AM-2014-D7_bin-818_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_023129085.1_ASM2312908v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_026014905.1_ASM2601490v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_026014925.1_ASM2601492v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_003601735.1_ASM360173v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_903923525.1_freshwater_MAG_---_MJ-2014_bin-0766_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_020348285.1_ASM2034828v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_011042195.1_ASM1104219v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_018396975.1_ASM1839697v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_026015085.1_ASM2601508v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_021158305.1_ASM2115830v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_018396755.1_ASM1839675v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_022866405.1_ASM2286640v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_003662445.1_ASM366244v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_021161255.1_ASM2116125v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_018396815.1_ASM1839681v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_022865985.1_ASM2286598v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_026014665.1_ASM2601466v1_genomic.fna	2026714	Candidatus Bathyarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027071735.1_ASM2707173v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027051505.1_ASM2705150v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027052075.1_ASM2705207v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027078185.1_ASM2707818v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027071635.1_ASM2707163v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027022005.1_ASM2702200v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027071655.1_ASM2707165v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027046065.1_ASM2704606v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027039295.1_ASM2703929v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027000715.1_ASM2700071v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027037535.1_ASM2703753v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027044005.1_ASM2704400v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027043265.1_ASM2704326v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027014125.1_ASM2701412v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_026996065.1_ASM2699606v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027078975.1_ASM2707897v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027044035.1_ASM2704403v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027018115.1_ASM2701811v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027026585.1_ASM2702658v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027011285.1_ASM2701128v1_genomic.fna	2933264	Acidilobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_019654835.1_ASM1965483v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_002728975.1_ASM272897v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_018645625.1_ASM1864562v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_003139895.1_20110800_S2D_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_018650525.1_ASM1865052v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_004144665.1_ASM414466v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_019653175.1_ASM1965317v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_010030465.1_ASM1003046v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_003230355.1_ASM323035v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_011052505.1_ASM1105250v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_016841785.1_ASM1684178v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_013154005.1_ASM1315400v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_016841295.1_ASM1684129v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_023436625.1_ASM2343662v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_023459075.1_ASM2345907v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_022561895.1_ASM2256189v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_012518185.1_ASM1251818v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_016841485.1_ASM1684148v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_017885655.1_ASM1788565v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_003696825.1_ASM369682v1_genomic.fna	2026739	Euryarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027000005.1_ASM2700000v1_genomic.fna	1906665	archaeon	Archaea	crispr_negative	Gram-negative
GCA_018658095.1_ASM1865809v1_genomic.fna	1906665	archaeon	Archaea	crispr_negative	Gram-negative
GCA_007281115.1_ASM728111v1_genomic.fna	1906665	archaeon	Archaea	crispr_negative	Gram-negative
GCA_021807225.1_ASM2180722v1_genomic.fna	1906665	archaeon	Archaea	crispr_negative	Gram-negative
GCA_021823055.1_ASM2182305v1_genomic.fna	1906665	archaeon	Archaea	crispr_negative	Gram-negative
GCA_009994485.1_ASM999448v1_genomic.fna	1906665	archaeon	Archaea	crispr_negative	Gram-negative
GCA_018652905.1_ASM1865290v1_genomic.fna	1906665	archaeon	Archaea	crispr_negative	Gram-negative
GCA_009995005.1_ASM999500v1_genomic.fna	1906665	archaeon	Archaea	crispr_negative	Gram-negative
GCA_020052935.1_ASM2005293v1_genomic.fna	1906665	archaeon	Archaea	crispr_negative	Gram-negative
GCA_018399895.1_ASM1839989v1_genomic.fna	1906665	archaeon	Archaea	crispr_negative	Gram-negative
GCA_024274695.1_ASM2427469v1_genomic.fna	1906665	archaeon	Archaea	crispr_positive	Gram-negative
GCA_027054095.1_ASM2705409v1_genomic.fna	1906665	archaeon	Archaea	crispr_positive	Gram-negative
GCA_021828325.1_ASM2182832v1_genomic.fna	1906665	archaeon	Archaea	crispr_positive	Gram-negative
GCA_027051165.1_ASM2705116v1_genomic.fna	1906665	archaeon	Archaea	crispr_positive	Gram-negative
GCA_021800035.1_ASM2180003v1_genomic.fna	1906665	archaeon	Archaea	crispr_positive	Gram-negative
GCA_024256265.1_ASM2425626v1_genomic.fna	1906665	archaeon	Archaea	crispr_positive	Gram-negative
GCA_027366465.1_ASM2736646v1_genomic.fna	1906665	archaeon	Archaea	crispr_positive	Gram-negative
GCA_021791835.1_ASM2179183v1_genomic.fna	1906665	archaeon	Archaea	crispr_positive	Gram-negative
GCA_023230325.1_ASM2323032v1_genomic.fna	1906665	archaeon	Archaea	crispr_positive	Gram-negative
GCA_027054175.1_ASM2705417v1_genomic.fna	1906665	archaeon	Archaea	crispr_positive	Gram-negative
GCA_011364925.1_ASM1136492v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_023705745.1_ASM2370574v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_016933055.1_ASM1693305v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_019056735.1_ASM1905673v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_004524265.1_ASM452426v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_011365055.1_ASM1136505v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_016839845.1_ASM1683984v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_023706005.1_ASM2370600v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_016839315.1_ASM1683931v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_009724705.1_ASM972470v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_008080765.1_ASM808076v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_016839295.1_ASM1683929v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_021498095.1_ASM2149809v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_019057995.1_ASM1905799v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027101075.1_ASM2710107v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_019058215.1_ASM1905821v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_016930515.1_ASM1693051v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_019058415.1_ASM1905841v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_003662865.1_ASM366286v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_016926735.1_ASM1692673v1_genomic.fna	2053489	Candidatus Lokiarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027337825.1_ASM2733782v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_021787495.1_ASM2178749v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_027338385.1_ASM2733838v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_027346825.1_ASM2734682v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_027332605.1_ASM2733260v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_027327005.1_ASM2732700v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_021797575.1_ASM2179757v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_027332705.1_ASM2733270v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_027334295.1_ASM2733429v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_027354305.1_ASM2735430v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_016932815.1_ASM1693281v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027049045.1_ASM2704904v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027371655.1_ASM2737165v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027371795.1_ASM2737179v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_021811465.1_ASM2181146v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_021798255.1_ASM2179825v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_026414465.1_ASM2641446v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027049235.1_ASM2704923v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027072175.1_ASM2707217v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_003660975.1_ASM366097v1_genomic.fna	2250274	Candidatus Micrarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027056585.1_ASM2705658v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_015523045.1_ASM1552304v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027066885.1_ASM2706688v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027008355.1_ASM2700835v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_015520685.1_ASM1552068v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_015523685.1_ASM1552368v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027076305.1_ASM2707630v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_015521855.1_ASM1552185v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027032285.1_ASM2703228v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_026414205.1_ASM2641420v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_004366975.1_ASM436697v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_015520485.1_ASM1552048v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027038405.1_ASM2703840v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027016055.1_ASM2701605v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027010935.1_ASM2701093v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_021163065.1_ASM2116306v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_015521005.1_ASM1552100v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027017845.1_ASM2701784v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_015521425.1_ASM1552142v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027036775.1_ASM2703677v1_genomic.fna	2511821	Archaeoglobaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_016185615.1_ASM1618561v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_018302415.1_ASM1830241v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_negative	Gram-negative
