"Level","Source","Spacer_count","T_self","T_virus","T_others","T_self_r","T_virus_r","T_others_r","genome_count"
"Species","s__Lachnospiraceae bacterium",4415,307,2430,1678,0.0695,0.5504,0.3801,709
"Species","s__Klebsiella variicola",3909,407,1283,2219,0.1041,0.3282,0.5677,690
"Species","s__Bacillota bacterium",4332,332,2947,1053,0.0766,0.6803,0.2431,687
"Species","s__uncultured bacterium",4543,516,2838,1189,0.1136,0.6247,0.2617,632
"Species","s__Escherichia albertii",1222,340,330,552,0.2782,0.27,0.4518,610
"Species","s__Clostridiales bacterium",3768,382,2379,1007,0.1014,0.6314,0.2672,592
"Species","s__Bifidobacterium longum",15837,2264,11840,1733,0.143,0.7476,0.1094,562
"Species","s__Klebsiella oxytoca",4751,449,2297,2005,0.0945,0.4835,0.422,549
"Species","s__Corynebacterium diphtheriae",7869,3453,3898,518,0.4388,0.4954,0.0658,519
"Species","s__Bacteroides fragilis",6920,2777,2542,1601,0.4013,0.3673,0.2314,514
"Species","s__bacterium",2557,391,991,1175,0.1529,0.3876,0.4595,509
"Species","s__Streptococcus thermophilus",8978,3414,4894,670,0.3803,0.5451,0.0746,486
"Species","s__Serratia marcescens",16343,5466,8797,2080,0.3345,0.5383,0.1272,477
"Species","s__Xanthomonas citri",8214,6042,4,2168,0.7356,0.0005,0.2639,469
"Species","s__Lactobacillus delbrueckii",8322,6398,1444,480,0.7688,0.1735,0.0577,464
"Species","s__uncultured Clostridium sp.",2250,272,1269,709,0.1209,0.564,0.3151,452
"Species","s__Pseudomonadota bacterium",2244,296,907,1041,0.1319,0.4042,0.4639,449
"Species","s__Clostridia bacterium",1523,266,843,414,0.1747,0.5535,0.2718,441
"Species","s__Oscillospiraceae bacterium",2753,382,1809,562,0.1388,0.6571,0.2041,425
"Species","s__Xanthomonas oryzae",13796,6650,4377,2769,0.482,0.3173,0.2007,420
"Species","s__Bifidobacterium pseudocatenulatum",8954,1487,6387,1080,0.1661,0.7133,0.1206,414
"Species","s__Lactobacillus crispatus",3389,1178,1307,904,0.3476,0.3857,0.2667,412
"Species","s__Enterobacter quasiroggenkampii",69,19,20,30,0.2754,0.2899,0.4347,397
"Species","s__uncultured Bacteroidales bacterium",2232,282,1219,731,0.1263,0.5461,0.3276,395
"Species","s__Pasteurella multocida",11566,3689,7526,351,0.319,0.6507,0.0303,387
"Species","s__Bacteroidales bacterium",2228,424,1120,684,0.1903,0.5027,0.307,380
"Species","s__Clostridium perfringens",7831,4126,3261,444,0.5269,0.4164,0.0567,369
"Species","s__Corynebacterium striatum",33171,20185,10304,2682,0.6085,0.3106,0.0809,349
"Species","s__Proteus mirabilis",4306,663,3179,464,0.154,0.7383,0.1077,346
"Species","s__Klebsiella quasivariicola",623,94,246,283,0.1509,0.3949,0.4542,334
"Species","s__Yersinia pestis",4537,754,1980,1803,0.1662,0.4364,0.3974,332
"Species","s__Lactiplantibacillus plantarum",1324,646,409,269,0.4879,0.3089,0.2032,329
"Species","s__Yersinia pseudotuberculosis",9817,5648,3197,972,0.5753,0.3257,0.099,327
"Species","s__Campylobacter fetus",6009,3732,2000,277,0.6211,0.3328,0.0461,298
"Species","s__Enterobacter kobei",2918,1177,692,1049,0.4034,0.2371,0.3595,291
"Species","s__Bifidobacterium adolescentis",7499,2185,4661,653,0.2914,0.6215,0.0871,289
"Species","s__uncultured Oscillospiraceae bacterium",2430,213,1446,771,0.0877,0.5951,0.3172,286
"Species","s__Vibrio parahaemolyticus",2109,916,720,473,0.4343,0.3414,0.2243,284
"Species","s__Alphaproteobacteria bacterium",426,179,102,145,0.4202,0.2394,0.3404,267
"Species","s__uncultured Prevotella sp.",2311,246,1665,400,0.1064,0.7205,0.1731,260
"Species","s__Bacteroidota bacterium",1612,182,947,483,0.1129,0.5875,0.2996,247
"Species","s__Erwinia amylovora",15117,11774,733,2610,0.7789,0.0485,0.1726,247
"Species","s__Clostridium sporogenes",1760,239,869,652,0.1358,0.4938,0.3704,246
"Species","s__Gammaproteobacteria bacterium",1158,501,328,329,0.4326,0.2832,0.2842,244
"Species","s__Listeria seeligeri",7411,2287,1957,3167,0.3086,0.2641,0.4273,238
"Species","s__[Clostridium] innocuum",4540,949,1860,1731,0.209,0.4097,0.3813,237
"Species","s__uncultured Lactobacillus sp.",455,47,180,228,0.1033,0.3956,0.5011,233
"Species","s__uncultured Bifidobacterium sp.",335,10,231,94,0.0299,0.6896,0.2805,230
"Species","s__Erwinia tasmaniensis",2,0,1,1,0,0.5,0.5,229
"Species","s__uncultured Eubacteriales bacterium",1989,97,1319,573,0.0488,0.6631,0.2881,227
"Species","s__uncultured Alphaproteobacteria bacterium",505,164,128,213,0.3248,0.2535,0.4217,226
"Species","s__Clostridium sp.",1746,113,1226,407,0.0647,0.7022,0.2331,225
"Species","s__Bacillus thuringiensis",1369,723,150,496,0.5281,0.1096,0.3623,223
"Species","s__Acinetobacter nosocomialis",411,11,231,169,0.0268,0.562,0.4112,220
"Species","s__Klebsiella michiganensis",1771,233,812,726,0.1316,0.4585,0.4099,219
"Species","s__Prevotella sp.",2570,140,2056,374,0.0545,0.8,0.1455,219
"Species","s__Pectobacterium carotovorum",1302,195,642,465,0.1498,0.4931,0.3571,216
"Species","s__Providencia rettgeri",2177,767,1132,278,0.3523,0.52,0.1277,213
"Species","s__Flavobacterium psychrophilum",4000,1841,936,1223,0.4602,0.234,0.3058,211
"Species","s__Lacticaseibacillus paracasei",2452,643,1405,404,0.2622,0.573,0.1648,209
"Species","s__Citrobacter freundii",293,3,94,196,0.0102,0.3208,0.669,205
"Species","s__Microcystis aeruginosa",2934,1119,1197,618,0.3814,0.408,0.2106,205
"Species","s__uncultured Ruminococcus sp.",2091,109,1423,559,0.0521,0.6805,0.2674,203
"Species","s__uncultured Bacilli bacterium",638,134,304,200,0.21,0.4765,0.3135,201
"Species","s__Ruminococcus sp.",1502,178,1018,306,0.1185,0.6778,0.2037,196
"Species","s__Streptococcus salivarius",1172,197,807,168,0.1681,0.6886,0.1433,195
"Species","s__uncultured Roseburia sp.",1021,118,610,293,0.1156,0.5975,0.2869,195
"Species","s__Akkermansia sp.",793,54,464,275,0.0681,0.5851,0.3468,193
"Species","s__Mannheimia haemolytica",2016,745,1206,65,0.3695,0.5982,0.0323,193
"Species","s__Moraxella catarrhalis",4309,1398,2671,240,0.3244,0.6199,0.0557,193
"Species","s__Enterobacter cloacae",1712,255,614,843,0.1489,0.3586,0.4925,191
"Species","s__Lactobacillus helveticus",1640,841,488,311,0.5128,0.2976,0.1896,189
"Species","s__Listeria welshimeri",2735,407,1222,1106,0.1488,0.4468,0.4044,183
"Species","s__Akkermansia muciniphila",7324,396,6128,800,0.0541,0.8367,0.1092,179
"Species","s__Lacticaseibacillus rhamnosus",2848,1300,677,871,0.4565,0.2377,0.3058,177
"Species","s__uncultured Eubacterium sp.",1396,113,972,311,0.0809,0.6963,0.2228,177
"Species","s__Escherichia fergusonii",2754,503,374,1877,0.1826,0.1358,0.6816,176
"Species","s__Citrobacter koseri",2251,1150,552,549,0.5109,0.2452,0.2439,172
"Species","s__Streptococcus mutans",1159,530,554,75,0.4573,0.478,0.0647,171
"Species","s__uncultured Lachnoclostridium sp.",1290,149,693,448,0.1155,0.5372,0.3473,170
"Species","s__Staphylococcus aureus",2037,55,130,1852,0.027,0.0638,0.9092,168
"Species","s__Deltaproteobacteria bacterium",1204,553,317,334,0.4593,0.2633,0.2774,166
"Species","s__Streptococcus infantarius",1187,368,572,247,0.31,0.4819,0.2081,166
"Species","s__Pseudomonas paraeruginosa",198,0,116,82,0,0.5859,0.4141,164
"Species","s__Vibrio fluvialis",1074,569,303,202,0.5298,0.2821,0.1881,161
"Species","s__Acinetobacter pittii",98,10,56,32,0.102,0.5714,0.3266,159
"Species","s__uncultured Prevotellaceae bacterium",1531,120,1037,374,0.0784,0.6773,0.2443,157
"Species","s__Enterobacter roggenkampii",1646,520,429,697,0.3159,0.2606,0.4235,155
"Species","s__Klebsiella aerogenes",1131,205,557,369,0.1813,0.4925,0.3262,155
"Species","s__Leptospira interrogans",1589,671,737,181,0.4223,0.4638,0.1139,155
"Species","s__Staphylococcus epidermidis",1461,605,441,415,0.4141,0.3018,0.2841,151
"Species","s__Bifidobacterium animalis",1607,1056,362,189,0.6571,0.2253,0.1176,150
"Species","s__Pectobacterium versatile",2499,446,1333,720,0.1785,0.5334,0.2881,146
"Species","s__Limosilactobacillus fermentum",1732,720,860,152,0.4157,0.4965,0.0878,143
"Species","s__Bifidobacterium breve",3709,279,2302,1128,0.0752,0.6207,0.3041,142
"Species","s__Lactobacillus iners",951,327,566,58,0.3438,0.5952,0.061,142
"Species","s__Ligilactobacillus salivarius",1970,469,1096,405,0.2381,0.5563,0.2056,141
"Species","s__Phocaeicola vulgatus",4449,204,3900,345,0.0459,0.8766,0.0775,137
"Species","s__uncultured Porphyromonadaceae bacterium",1019,139,541,339,0.1364,0.5309,0.3327,135
"Species","s__Enterococcus faecium",673,212,212,249,0.315,0.315,0.37,134
"Species","s__Eubacterium sp.",902,89,569,244,0.0987,0.6308,0.2705,133
"Species","s__Pediococcus acidilactici",774,391,307,76,0.5052,0.3966,0.0982,132
"Species","s__Gilliamella apicola",1582,450,854,278,0.2845,0.5398,0.1757,130
"Species","s__Pectobacterium brasiliense",1633,161,1008,464,0.0986,0.6173,0.2841,129
"Species","s__Listeria marthii",985,94,236,655,0.0954,0.2396,0.665,128
"Species","s__uncultured Chlorobiaceae bacterium",750,654,61,35,0.872,0.0813,0.0467,128
"Species","s__Listeria booriae",3201,2869,135,197,0.8963,0.0422,0.0615,126
"Species","s__Campylobacter concisus",2431,770,1586,75,0.3167,0.6524,0.0309,125
"Species","s__Riemerella anatipestifer",2333,1341,782,210,0.5748,0.3352,0.09,124
"Species","s__Streptococcus oralis",2589,332,1717,540,0.1282,0.6632,0.2086,123
"Species","s__uncultured Methylococcaceae bacterium",818,699,73,46,0.8545,0.0892,0.0563,123
"Species","s__Clostridiaceae bacterium",838,43,588,207,0.0513,0.7017,0.247,119
"Species","s__Candidatus Moranbacteria bacterium",494,384,8,102,0.7773,0.0162,0.2065,118
"Species","s__uncultured Alistipes sp.",754,146,420,188,0.1936,0.557,0.2494,118
"Species","s__Chloroflexota bacterium",499,183,151,165,0.3667,0.3026,0.3307,117
"Species","s__Acinetobacter schindleri",146,4,100,42,0.0274,0.6849,0.2877,116
"Species","s__uncultured Acinetobacter sp.",362,32,143,187,0.0884,0.395,0.5166,116
"Species","s__Parabacteroides distasonis",3244,111,2408,725,0.0342,0.7423,0.2235,114
"Species","s__Faecalibacterium prausnitzii",2979,237,2471,271,0.0796,0.8295,0.0909,112
"Species","s__uncultured Collinsella sp.",919,83,549,287,0.0903,0.5974,0.3123,112
"Species","s__Bacillus cereus",956,157,162,637,0.1642,0.1695,0.6663,111
"Species","s__Bacteroidaceae bacterium",477,56,304,117,0.1174,0.6373,0.2453,111
"Species","s__Xanthomonas vasicola",2585,1552,173,860,0.6004,0.0669,0.3327,111
"Species","s__Bifidobacterium pseudolongum",1561,704,732,125,0.451,0.4689,0.0801,110
"Species","s__Levilactobacillus brevis",886,320,360,206,0.3612,0.4063,0.2325,110
"Species","s__Pectobacterium parmentieri",751,127,448,176,0.1691,0.5965,0.2344,108
"Species","s__Acinetobacter ursingii",5017,2213,2160,644,0.4411,0.4305,0.1284,107
"Species","s__Aggregatibacter actinomycetemcomitans",1241,829,250,162,0.668,0.2015,0.1305,107
"Species","s__Apilactobacillus kunkeei",725,500,121,104,0.6897,0.1669,0.1434,106
"Species","s__Streptococcus equi",1934,650,909,375,0.3361,0.47,0.1939,106
"Species","s__Streptococcus iniae",1402,1073,247,82,0.7653,0.1762,0.0585,106
"Species","s__Acinetobacter junii",1447,296,821,330,0.2046,0.5674,0.228,105
"Species","s__Streptococcus mitis",1987,156,1530,301,0.0785,0.77,0.1515,105
"Species","s__Providencia stuartii",1673,165,806,702,0.0986,0.4818,0.4196,104
"Species","s__Clostridioides sp. ZZV15-6598",5,0,1,4,0,0.2,0.8,103
"Species","s__Streptococcus uberis",1414,812,516,86,0.5743,0.3649,0.0608,103
"Species","s__Vibrio paracholerae",300,17,105,178,0.0567,0.35,0.5933,103
"Species","s__Lactobacillus jensenii",1378,315,653,410,0.2286,0.4739,0.2975,102
"Species","s__Salmonella bongori",1249,113,153,983,0.0905,0.1225,0.787,100
"Species","s__Vibrio vulnificus",207,81,60,66,0.3913,0.2899,0.3188,100
"Species","s__[Eubacterium] rectale",2748,345,1846,557,0.1255,0.6718,0.2027,100
"Species","s__Enterobacter bugandensis",970,316,146,508,0.3258,0.1505,0.5237,99
"Species","s__uncultured Erysipelotrichaceae bacterium",390,89,158,143,0.2282,0.4051,0.3667,99
"Species","s__Shewanella algae",1762,505,793,464,0.2866,0.4501,0.2633,98
"Species","s__Thomasclavelia ramosa",1263,69,670,524,0.0546,0.5305,0.4149,98
"Species","s__Acinetobacter radioresistens",615,99,471,45,0.161,0.7659,0.0731,97
"Species","s__Clostridium sp. HMSC19B11",61,0,16,45,0,0.2623,0.7377,97
"Species","s__Lactobacillus acidophilus",2390,1965,0,425,0.8222,0,0.1778,97
"Species","s__Cronobacter malonaticus",752,320,142,290,0.4255,0.1888,0.3857,96
"Species","s__uncultured Gilliamella sp.",235,31,88,116,0.1319,0.3745,0.4936,96
"Species","s__Acidobacteriota bacterium",302,115,62,125,0.3808,0.2053,0.4139,94
"Species","s__Anaerolineae bacterium",332,119,81,132,0.3584,0.244,0.3976,94
"Species","s__Dickeya dianthicola",1368,358,850,160,0.2617,0.6213,0.117,94
"Species","s__Enterococcus hirae",539,347,4,188,0.6438,0.0074,0.3488,94
"Species","s__Tenacibaculum finnmarkense",1022,906,8,108,0.8865,0.0078,0.1057,94
"Species","s__Acinetobacter soli",720,108,318,294,0.15,0.4417,0.4083,93
"Species","s__Acinetobacter bereziniae",1551,831,530,190,0.5358,0.3417,0.1225,92
"Species","s__Aerococcus urinae",1014,816,118,80,0.8047,0.1164,0.0789,91
"Species","s__uncultured Bacteroidetes bacterium",464,120,177,167,0.2586,0.3815,0.3599,91
"Species","s__uncultured Acetatifactor sp.",240,9,156,75,0.0375,0.65,0.3125,90
"Species","s__Bacilli bacterium",226,35,85,106,0.1549,0.3761,0.469,89
"Species","s__Lactiplantibacillus pentosus",857,576,160,121,0.6721,0.1867,0.1412,88
"Species","s__Ralstonia solanacearum",1436,1087,294,55,0.757,0.2047,0.0383,88
"Species","s__Bacillus pumilus",295,58,83,154,0.1966,0.2814,0.522,87
"Species","s__Xanthomonas translucens",791,382,306,103,0.4829,0.3869,0.1302,86
"Species","s__uncultured proteobacterium",414,270,102,42,0.6522,0.2464,0.1014,86
"Species","s__Aeromonas veronii",858,136,436,286,0.1585,0.5082,0.3333,85
"Species","s__uncultured Desulfovibrio sp.",515,119,180,216,0.2311,0.3495,0.4194,85
"Species","s__Haemophilus parainfluenzae",558,43,437,78,0.0771,0.7832,0.1397,84
"Species","s__Latilactobacillus curvatus",1013,246,608,159,0.2428,0.6002,0.157,84
"Species","s__Listeria ivanovii",731,219,163,349,0.2996,0.223,0.4774,84
"Species","s__Pectobacterium aroidearum",208,105,37,66,0.5048,0.1779,0.3173,84
"Species","s__Porphyromonas gingivalis",1338,487,788,63,0.364,0.5889,0.0471,84
"Species","s__Streptococcus anginosus",1058,176,508,374,0.1664,0.4802,0.3534,84
"Species","s__Clostridioides sp. ES-S-0108-01",11,1,4,6,0.0909,0.3636,0.5455,83
"Species","s__Vibrio anguillarum",118,25,46,47,0.2119,0.3898,0.3983,83
"Species","s__uncultured Blautia sp.",988,22,789,177,0.0223,0.7986,0.1791,83
"Species","s__Verrucomicrobiota bacterium",435,70,234,131,0.1609,0.5379,0.3012,82
"Species","s__uncultured Firmicutes bacterium",598,16,392,190,0.0268,0.6555,0.3177,82
"Species","s__Micrococcus luteus",935,431,142,362,0.461,0.1519,0.3871,81
"Species","s__uncultured Bacteroides sp.",975,50,711,214,0.0513,0.7292,0.2195,80
"Species","s__Pectobacterium polaris",376,41,214,121,0.109,0.5691,0.3219,79
"Species","s__Pediococcus pentosaceus",220,114,94,12,0.5182,0.4273,0.0545,79
"Species","s__Prevotella copri",3114,341,2361,412,0.1095,0.7582,0.1323,78
"Species","s__Veillonella sp.",862,125,615,122,0.145,0.7135,0.1415,78
"Species","s__Elizabethkingia anophelis",961,417,498,46,0.4339,0.5182,0.0479,77
"Species","s__uncultured Candidatus Saccharibacteria bacterium",152,31,116,5,0.2039,0.7632,0.0329,77
"Species","s__uncultured Streptococcus sp.",445,11,302,132,0.0247,0.6787,0.2966,76
"Species","s__Bacteroidia bacterium",441,241,120,80,0.5465,0.2721,0.1814,75
"Species","s__Acinetobacter haemolyticus",262,75,137,50,0.2863,0.5229,0.1908,74
"Species","s__Gardnerella vaginalis",480,193,213,74,0.4021,0.4438,0.1541,74
"Species","s__Planctomycetota bacterium",300,74,55,171,0.2467,0.1833,0.57,74
"Species","s__Actinomycetia bacterium",279,16,55,208,0.0573,0.1971,0.7456,73
"Species","s__Enterocloster bolteae",761,75,621,65,0.0986,0.816,0.0854,73
"Species","s__Lactobacillus amylovorus",265,53,127,85,0.2,0.4792,0.3208,73
"Species","s__Rothia mucilaginosa",849,149,163,537,0.1755,0.192,0.6325,73
"Species","s__Limosilactobacillus reuteri",785,161,426,198,0.2051,0.5427,0.2522,72
"Species","s__Propionibacterium freudenreichii",1277,776,476,25,0.6077,0.3727,0.0196,72
"Species","s__Eggerthella lenta",1280,303,773,204,0.2367,0.6039,0.1594,71
"Species","s__Proteus terrae",241,11,189,41,0.0456,0.7842,0.1702,71
"Species","s__Salinibacter ruber",363,191,172,0,0.5262,0.4738,0,71
"Species","s__Streptomyces albidoflavus",725,150,119,456,0.2069,0.1641,0.629,71
"Species","s__Oscillatoriales cyanobacterium",408,45,9,354,0.1103,0.0221,0.8676,70
"Species","s__Paludibacteraceae bacterium",287,121,101,65,0.4216,0.3519,0.2265,70
"Species","s__Pectobacterium odoriferum",299,18,201,80,0.0602,0.6722,0.2676,70
"Species","s__Candidatus Gastranaerophilales bacterium",213,35,136,42,0.1643,0.6385,0.1972,69
"Species","s__Xanthomonas campestris",238,20,134,84,0.084,0.563,0.353,69
"Species","s__Xanthomonas fragariae",1600,1315,217,68,0.8219,0.1356,0.0425,69
"Species","s__Acinetobacter seifertii",12,0,10,2,0,0.8333,0.1667,68
"Species","s__Lactobacillus johnsonii",549,117,271,161,0.2131,0.4936,0.2933,68
"Species","s__Megamonas funiformis",2181,285,1682,214,0.1307,0.7712,0.0981,68
"Species","s__Burkholderiales bacterium",317,44,224,49,0.1388,0.7066,0.1546,67
"Species","s__Clostridioides sp. ZZV15-6383",39,2,12,25,0.0513,0.3077,0.641,67
"Species","s__Clostridium sp. Hs50",12,0,5,7,0,0.4167,0.5833,67
"Species","s__Nitrospirota bacterium",321,230,5,86,0.7165,0.0156,0.2679,67
"Species","s__Pasteurella canis",287,67,181,39,0.2334,0.6307,0.1359,67
"Species","s__Streptococcus lutetiensis",903,116,665,122,0.1285,0.7364,0.1351,67
"Species","s__Vibrio metschnikovii",383,153,53,177,0.3995,0.1384,0.4621,67
"Species","s__uncultured Corynebacterium sp.",103,4,46,53,0.0388,0.4466,0.5146,67
"Species","s__Bacteroides uniformis",1003,99,828,76,0.0987,0.8255,0.0758,66
"Species","s__Collinsella tanakaei",24,7,6,11,0.2917,0.25,0.4583,66
"Species","s__Neisseria lactamica",599,40,426,133,0.0668,0.7112,0.222,66
"Species","s__Clostridium chauvoei",2057,1995,61,1,0.9699,0.0297,0.0004,65
"Species","s__Streptococcus gallolyticus",392,70,240,82,0.1786,0.6122,0.2092,65
"Species","s__Treponema sp.",273,102,93,78,0.3736,0.3407,0.2857,65
"Species","s__Bacteroides thetaiotaomicron",1362,84,1065,213,0.0617,0.7819,0.1564,64
"Species","s__Phycisphaerales bacterium",373,149,16,208,0.3995,0.0429,0.5576,64
"Species","s__Clostridium saccharobutylicum",2863,2746,117,0,0.9591,0.0409,0,63
"Species","s__Raoultella ornithinolytica",1255,186,622,447,0.1482,0.4956,0.3562,63
"Species","s__Desulfovibrio desulfuricans",122,7,69,46,0.0574,0.5656,0.377,62
"Species","s__Fusobacterium nucleatum",1965,106,1732,127,0.0539,0.8814,0.0647,62
"Species","s__Klebsiella grimontii",1924,53,1016,855,0.0275,0.5281,0.4444,62
"Species","s__Staphylococcus simulans",441,348,52,41,0.7891,0.1179,0.093,62
"Species","s__uncultured Megasphaera sp.",587,85,272,230,0.1448,0.4634,0.3918,62
"Species","s__Ligilactobacillus ruminis",1202,795,387,20,0.6614,0.322,0.0166,61
"Species","s__uncultured Faecalibacterium sp.",1173,55,967,151,0.0469,0.8244,0.1287,61
"Species","s__Paenibacillus polymyxa",383,146,153,84,0.3812,0.3995,0.2193,60
"Species","s__Serratia ureilytica",210,2,152,56,0.0095,0.7238,0.2667,60
"Species","s__Acinetobacter sp.",130,2,85,43,0.0154,0.6538,0.3308,59
"Species","s__Parasutterella excrementihominis",1026,168,614,244,0.1637,0.5984,0.2379,59
"Species","s__Corynebacterium belfantii",250,11,122,117,0.044,0.488,0.468,58
"Species","s__Delftia acidovorans",471,38,312,121,0.0807,0.6624,0.2569,58
"Species","s__Lactobacillus sp.",180,25,63,92,0.1389,0.35,0.5111,58
"Species","s__Bacteroides salyersiae",778,161,320,297,0.2069,0.4113,0.3818,57
"Species","s__Hyphomicrobiales bacterium",171,87,38,46,0.5088,0.2222,0.269,57
"Species","s__Muribaculaceae bacterium",178,51,79,48,0.2865,0.4438,0.2697,57
"Species","s__Clostridia bacterium UC5.1-2G4",22,0,12,10,0,0.5455,0.4545,56
"Species","s__Enterococcus cecorum",691,310,196,185,0.4486,0.2836,0.2678,56
"Species","s__Erysipelotrichaceae bacterium",341,28,148,165,0.0821,0.434,0.4839,56
"Species","s__Lactobacillus mulieris",598,107,309,182,0.1789,0.5167,0.3044,56
"Species","s__uncultured Dorea sp.",400,70,151,179,0.175,0.3775,0.4475,56
"Species","s__uncultured Rothia sp.",145,10,52,83,0.069,0.3586,0.5724,56
"Species","s__Aeromonas caviae",1720,364,823,533,0.2116,0.4785,0.3099,55
"Species","s__Bacteroides sp.",594,107,376,111,0.1801,0.633,0.1869,55
"Species","s__Bifidobacterium sp.",197,3,148,46,0.0152,0.7513,0.2335,55
"Species","s__Campylobacteraceae bacterium",183,43,40,100,0.235,0.2186,0.5464,55
"Species","s__Klebsiella quasipneumoniae",1801,122,499,1180,0.0677,0.2771,0.6552,55
"Species","s__Latilactobacillus sakei",260,58,172,30,0.2231,0.6615,0.1154,55
"Species","s__Moraxella osloensis",1448,330,759,359,0.2279,0.5242,0.2479,55
"Species","s__Saprospiraceae bacterium",463,158,181,124,0.3413,0.3909,0.2678,55
"Species","s__Succinatimonas sp.",569,113,323,133,0.1986,0.5677,0.2337,55
"Species","s__uncultured beta proteobacterium",230,140,55,35,0.6087,0.2391,0.1522,55
"Species","s__Bacillus mycoides",82,26,15,41,0.3171,0.1829,0.5,54
"Species","s__Bacteroides ovatus",394,20,299,75,0.0508,0.7589,0.1903,54
"Species","s__Bifidobacterium asteroides",322,52,81,189,0.1615,0.2516,0.5869,54
"Species","s__Bifidobacterium dentium",770,155,446,169,0.2013,0.5792,0.2195,54
"Species","s__Clostridium tetani",763,492,220,51,0.6448,0.2883,0.0669,54
"Species","s__Ferrovum sp.",767,516,7,244,0.6728,0.0091,0.3181,54
"Species","s__Parabacteroides merdae",1722,186,1290,246,0.108,0.7491,0.1429,54
"Species","s__uncultured Holophagaceae bacterium",816,718,96,2,0.8799,0.1176,0.0025,54
"Species","s__Candidatus Saccharibacteria bacterium",137,18,82,37,0.1314,0.5985,0.2701,53
"Species","s__Megasphaera sp.",479,38,255,186,0.0793,0.5324,0.3883,53
"Species","s__Neisseria sp.",124,5,86,33,0.0403,0.6935,0.2662,53
"Species","s__Rhodocyclaceae bacterium",639,394,166,79,0.6166,0.2598,0.1236,53
"Species","s__Aeromonas hydrophila",207,4,48,155,0.0193,0.2319,0.7488,52
"Species","s__Blautia producta",890,108,564,218,0.1213,0.6337,0.245,52
"Species","s__Chromatiales bacterium",161,36,26,99,0.2236,0.1615,0.6149,52
"Species","s__Francisella philomiragia",64,60,0,4,0.9375,0,0.0625,52
"Species","s__Fusicatenibacter saccharivorans",1144,62,901,181,0.0542,0.7876,0.1582,52
"Species","s__Streptococcus sp. HMSC072G02",6,0,4,2,0,0.6667,0.3333,52
"Species","s__Weizmannia coagulans",1036,241,744,51,0.2326,0.7181,0.0493,52
"Species","s__[Clostridium] symbiosum",2059,224,1607,228,0.1088,0.7805,0.1107,52
"Species","s__uncultured Muribaculaceae bacterium",290,30,149,111,0.1034,0.5138,0.3828,52
"Species","s__Prevotellaceae bacterium",629,68,511,50,0.1081,0.8124,0.0795,51
"Species","s__uncultured Coprococcus sp.",442,31,344,67,0.0701,0.7783,0.1516,51
"Species","s__Actinobacillus pleuropneumoniae",864,133,400,331,0.1539,0.463,0.3831,50
"Species","s__Laribacter hongkongensis",767,507,209,51,0.661,0.2725,0.0665,50
"Species","s__Mammaliicoccus sciuri",135,45,22,68,0.3333,0.163,0.5037,50
"Species","s__Streptococcus macedonicus",270,20,202,48,0.0741,0.7481,0.1778,50
