"group","arc_genome","bac_genome","dis","arc_subtype","bac_subtype"
"Cas1","GCF_008729005.1_ASM872900v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.12400405,"TypeIB","TypeIB"
"Cas1","GCF_008729015.1_ASM872901v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.12400405,"TypeIB","TypeIB"
"Cas1","GCF_019599485.1_ASM1959948v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.121738682,"TypeIB","TypeIB"
"Cas1","GCF_005435095.1_ASM543509v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.073557999,"TypeIB","TypeIB"
"Cas1","GCA_001950595.1_ASM195059v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.108970558,"TypeIB","TypeIB"
"Cas1","GCA_027563145.1_ASM2756314v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.174713267,"TypeIB","TypeIB"
"Cas1","GCF_001886955.1_ASM188695v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.188086902,"TypeIB","TypeIB"
"Cas1","GCF_000226975.2_ASM22697v3_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.284851818,"TypeIB","TypeIB"
"Cas1","GCF_020405245.1_ASM2040524v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.238513714,"TypeIB","TypeIB"
"Cas1","GCF_002355635.1_ASM235563v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.227164699,"TypeIB","TypeIB"
"Cas1","GCF_018200015.1_ASM1820001v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.272363639,"TypeIB","TypeIB"
"Cas1","GCF_000025685.1_ASM2568v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.158981135,"TypeIB","TypeIB"
"Cas1","GCF_007004735.1_ASM700473v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.162698363,"TypeIB","TypeIB"
"Cas1","GCF_007421925.1_ASM742192v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.144891174,"TypeIB","TypeIB"
"Cas1","GCF_024298825.1_ASM2429882v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.140016065,"TypeIB","TypeIB"
"Cas1","GCF_024218795.1_ASM2421879v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.040044455,"TypeIB","TypeIB"
"Cas1","GCF_004209855.1_ASM420985v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.049347567,"TypeIB","TypeIB"
"Cas1","GCA_023008585.1_ASM2300858v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.160194258,"TypeIB","TypeIB"
"Cas1","GCF_023093535.1_ASM2309353v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.123336887,"TypeIB","TypeIB"
"Cas1","GCF_024498195.1_ASM2449819v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.110310857,"TypeIB","TypeIB"
"Cas1","GCF_005435235.1_ASM543523v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.061293368,"TypeIB","TypeIB"
"Cas1","GCF_024508235.1_ASM2450823v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.005388639,"TypeIB","TypeIB"
"Cas1","GCA_025041175.1_ASM2504117v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",0.920896357,"TypeIB","TypeIB"
"Cas1","GCF_000337675.1_ASM33767v1_genomic.fna","GCA_002898255.1_ASM289825v1_genomic.fna",1.207171387,"TypeIB","TypeIB"
"Cas1","GCA_023252885.1_ASM2325288v1_genomic.fna","GCA_027453285.1_ASM2745328v1_genomic.fna",0.532944136,"TypeIB","TypeIB"
"Cas1","GCF_002906215.1_ASM290621v1_genomic.fna","GCA_027453285.1_ASM2745328v1_genomic.fna",0.52016596,"TypeIB","TypeIB"
"Cas1","GCF_900248165.1_Nitrosocaldus_cavascurensis_SCU2_chromosome_genomic.fna","GCA_027453285.1_ASM2745328v1_genomic.fna",0.52016596,"TypeIB","TypeIB"
"Cas1","GCF_900090055.1_C.divulgatum_PM4_genomic.fna","GCF_000016905.1_ASM1690v1_genomic.fna",0.515708028,"TypeIB","TypeIB"
"Cas1","GCA_003584625.1_ASM358462v1_genomic.fna","GCF_016599815.1_ASM1659981v1_genomic.fna",0.577817089,"TypeIB","TypeIB"
"Cas1","GCF_009917665.1_ASM991766v1_genomic.fna","GCF_016599815.1_ASM1659981v1_genomic.fna",0.654926258,"TypeIB","TypeIB"
"Cas1","GCA_002356395.1_ASM235639v1_genomic.fna","GCF_016599815.1_ASM1659981v1_genomic.fna",0.690988763,"TypeIB","TypeIB"
"Cas1","GCF_000828575.1_ASM82857v1_genomic.fna","GCF_016599815.1_ASM1659981v1_genomic.fna",0.687236933,"TypeIB","TypeIB"
"Cas1","GCF_002813675.1_ASM281367v1_genomic.fna","GCF_016599815.1_ASM1659981v1_genomic.fna",0.668280984,"TypeIB","TypeIB"
"Cas1","GCF_000008265.1_ASM826v1_genomic.fna","GCF_016599815.1_ASM1659981v1_genomic.fna",0.634923363,"TypeIIIA","TypeIB"
"Cas1","GCF_000011185.1_ASM1118v1_genomic.fna","GCF_016599815.1_ASM1659981v1_genomic.fna",0.637204075,"TypeIIIA","TypeIB"
"Cas1","GCF_023169545.1_ASM2316954v1_genomic.fna","GCF_016599815.1_ASM1659981v1_genomic.fna",0.562879982,"TypeIB","TypeIB"
"Cas1","GCA_000008085.1_ASM808v1_genomic.fna","GCF_016599815.1_ASM1659981v1_genomic.fna",0.666491979,"TypeIB","TypeIB"
"Cas1","GCA_003568775.1_ASM356877v1_genomic.fna","GCF_016599815.1_ASM1659981v1_genomic.fna",0.676433591,"TypeIB","TypeIB"
"Cas1","GCF_000698785.1_ASM69878v1_genomic.fna","GCF_002752635.1_ASM275263v1_genomic.fna",0.546628053,"TypeIB","TypeIB"
"Cas1","GCF_018141185.1_ASM1814118v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.588667777,"TypeIB","TypeIB"
"Cas1","GCA_003491285.1_ASM349128v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.605157443,"TypeIB","TypeIB"
"Cas1","GCA_027110455.1_ASM2711045v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.642421499,"TypeIB","TypeIB"
"Cas1","GCF_000404165.1_ASM40416v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.636421716,"TypeIB","TypeIB"
"Cas1","GCF_023227715.1_ASM2322771v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.659059984,"TypeIB","TypeIB"
"Cas1","GCF_017873625.1_ASM1787362v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.699690794,"TypeIB","TypeIB"
"Cas1","GCA_000499765.1_Methanobacterium_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.716888064,"TypeIB","TypeIB"
"Cas1","GCA_002498905.1_ASM249890v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.720538876,"TypeIB","TypeIB"
"Cas1","GCA_003491305.1_ASM349130v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.717897711,"TypeIB","TypeIB"
"Cas1","GCF_000302455.1_ASM30245v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.770120598,"TypeIB","TypeIB"
"Cas1","GCF_002813655.1_ASM281365v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.78773296,"TypeIB","TypeIB"
"Cas1","GCF_000214725.1_ASM21472v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.788916334,"TypeIB","TypeIB"
"Cas1","GCF_017874455.1_ASM1787445v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.871273498,"TypeIB","TypeIB"
"Cas1","GCF_900095295.1_MCBB_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.868336316,"TypeIB","TypeIB"
"Cas1","GCA_021513715.1_ASM2151371v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.588432316,"TypeIB","TypeIB"
"Cas1","GCA_001761425.1_ASM176142v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.52665939,"TypeIB","TypeIB"
"Cas1","GCF_000194625.1_ASM19462v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.745792119,"TypeIB","TypeIB"
"Cas1","GCA_000789255.1_ASM78925v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.776206456,"TypeIB","TypeIB"
"Cas1","GCF_001006045.1_ASM100604v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.747885732,"TypeIB","TypeIB"
"Cas1","GCF_012027555.1_ASM1202755v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.847660859,"TypeIB","TypeIB"
"Cas1","GCF_024707485.1_ASM2470748v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.858389769,"TypeIB","TypeIB"
"Cas1","GCF_904067545.1_T_caminus_IRI35c_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.905437429,"TypeIB","TypeIB"
"Cas1","GCF_012027515.1_ASM1202751v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.942440607,"TypeIB","TypeIB"
"Cas1","GCF_012027635.1_ASM1202763v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.985362035,"TypeIB","TypeIB"
"Cas1","GCF_000151205.2_ASM15120v2_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.990774439,"TypeIB","TypeIB"
"Cas1","GCF_000585495.1_ASM58549v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",1.002164837,"TypeIB","TypeIB"
"Cas1","GCF_012027685.1_ASM1202768v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.999432167,"TypeIB","TypeIB"
"Cas1","GCF_000725425.1_ASM72542v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.931101802,"TypeIB","TypeIB"
"Cas1","GCF_023746595.1_ASM2374659v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.922223535,"TypeIB","TypeIB"
"Cas1","GCF_000022545.1_ASM2254v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.965729402,"TypeIB","TypeIB"
"Cas1","GCF_012027425.1_ASM1202742v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.94894816,"TypeIB","TypeIB"
"Cas1","GCF_000221185.1_ASM22118v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.960615074,"TypeIB","TypeIB"
"Cas1","GCF_002214505.1_ASM221450v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.930235478,"TypeIB","TypeIB"
"Cas1","GCF_021184045.1_ASM2118404v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.737656334,"TypeIB","TypeIB"
"Cas1","GCF_006546655.1_ASM654665v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.75114872,"TypeIB","TypeIB"
"Cas1","GCF_013388255.1_ASM1338825v1_genomic.fna","GCA_000367705.1_ASM36770v1_genomic.fna",0.769309874,"TypeIB","TypeIB"
"Cas1","GCF_023016325.1_ASM2301632v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.597261658,"TypeIB","TypeIB"
"Cas1","GCA_006954475.1_ASM695447v1_genomic.fna","GCF_015559915.1_ASM1555991v1_genomic.fna",0.372839055,"TypeIB","TypeIB"
"Cas1","GCA_019057385.1_ASM1905738v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",0.788817651,"TypeIB","TypeIA"
"Cas1","GCF_905220655.1_NU5A1_genomic.fna","GCA_002441005.1_ASM244100v1_genomic.fna",0.785397364,"TypeIB","TypeIB"
"Cas1","GCF_000730285.1_ASM73028v1_genomic.fna","GCA_002441005.1_ASM244100v1_genomic.fna",0.895348518,"TypeIB","TypeIB"
"Cas1","GCF_000504205.1_ASM50420v1_genomic.fna","GCA_002441005.1_ASM244100v1_genomic.fna",0.457477259,"TypeIB","TypeIB"
"Cas1","GCF_001888095.1_ASM188809v1_genomic.fna","GCA_002441005.1_ASM244100v1_genomic.fna",0.526775719,"TypeIB","TypeIB"
"Cas1","GCF_000970045.1_ASM97004v1_genomic.fna","GCA_002441005.1_ASM244100v1_genomic.fna",0.549469201,"TypeIB","TypeIB"
"Cas1","GCF_000970265.1_ASM97026v1_genomic.fna","GCA_002441005.1_ASM244100v1_genomic.fna",0.582770607,"TypeIB","TypeIB"
"Cas1","GCF_004099695.1_ASM409969v1_genomic.fna","GCA_002441005.1_ASM244100v1_genomic.fna",0.579951984,"TypeIB","TypeIB"
"Cas1","GCF_001027005.1_ASM102700v1_genomic.fna","GCF_003573545.1_ASM357354v1_genomic.fna",0.731136162,"TypeIIIA","TypeIB"
"Cas1","GCF_000190315.1_ASM19031v1_genomic.fna","GCF_000224595.1_Prevotella_sp_C561_V1_genomic.fna",0.641154351,"TypeIA","TypeIIIA"
"Cas1","GCA_000145985.1_ASM14598v1_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",1.142008735,"TypeIA","TypeIB"
"Cas1","GCF_000011125.1_ASM1112v1_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",1.049324582,"TypeIA","TypeIB"
"Cas1","GCF_000231015.2_ASM23101v3_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",1.397417334,"TypeIA","TypeIB"
"Cas1","GCF_000264495.1_ASM26449v1_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",1.231493585,"TypeIA","TypeIB"
"Cas1","GCF_000243315.1_ASM24331v1_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",1.394431829,"TypeIA","TypeIB"
"Cas1","GCA_000016605.1_ASM1660v1_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",1.534284145,"TypeIA","TypeIB"
"Cas1","GCF_013343295.1_ASM1334329v1_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",1.401980175,"TypeIA","TypeIB"
"Cas1","GCF_014876775.1_ASM1487677v1_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",1.37109387,"TypeIA","TypeIB"
"Cas1","GCA_026419835.1_ASM2641983v1_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",1.313932897,"TypeIA","TypeIB"
"Cas1","GCF_000591035.1_ASM59103v1_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",1.380202522,"TypeIA","TypeIB"
"Cas1","GCF_025641885.1_ASM2564188v1_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",1.266573451,"TypeIA","TypeIB"
"Cas1","GCF_000223395.1_ASM22339v1_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",1.330373947,"TypeIA","TypeIB"
"Cas1","GCF_001412615.1_ASM141261v1_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",1.292068704,"TypeIA","TypeIB"
"Cas1","GCF_000213215.1_ASM21321v1_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",0.858245002,"TypeIA","TypeIB"
"Cas1","GCF_003201765.2_ASM320176v2_genomic.fna","GCA_023525255.1_ASM2352525v1_genomic.fna",0.878695594,"TypeIA","TypeIB"
"Cas1","GCF_000220645.1_ASM22064v1_genomic.fna","GCF_003337245.1_ASM333724v1_genomic.fna",0.783586823,"TypeIB","TypeIA"
"Cas1","GCF_000251105.1_ASM25110v1_genomic.fna","GCA_001688905.2_ASM168890v2_genomic.fna",0.941513137,"TypeIA","TypeIIB"
"Cas1","GCA_002009985.2_ASM200998v2_genomic.fna","GCA_001688905.2_ASM168890v2_genomic.fna",1.108362085,"TypeIA","TypeIIB"
"Cas1","GCA_004028775.1_ASM402877v1_genomic.fna","GCA_001688905.2_ASM168890v2_genomic.fna",1.159287226,"TypeIA","TypeIIB"
"Cas1","GCF_000063445.1_ASM6344v1_genomic.fna","GCF_000165795.1_ASM16579v1_genomic.fna",0.712788956,"TypeIE","TypeIE"
"Cas1","GCA_001766815.1_ASM176681v1_genomic.fna","GCA_021734225.1_ASM2173422v1_genomic.fna",0.794409794,"TypeIB","TypeIB"
"Cas1","GCA_905171685.1_GoM-Arc1_E50_genomic.fna","GCA_021734225.1_ASM2173422v1_genomic.fna",0.752611879,"TypeIB","TypeIB"
"Cas1","GCA_900079125.1_MBBA_genomic.fna","GCA_021734225.1_ASM2173422v1_genomic.fna",0.623657352,"TypeIB","TypeIB"
"Cas1","GCA_934190985.1_ERR7738254_bin.79_genomic.fna","GCA_001552935.1_ASM155293v1_genomic.fna",0.620091013,"TypeIE","TypeIE"
"Cas1","GCF_021023085.1_ASM2102308v1_genomic.fna","GCA_900114405.1_IMG-taxon_2654588176_annotated_assembly_genomic.fna",0.68019485,"TypeIE","TypeIE"
"Cas1","GCA_016699325.1_ASM1669932v1_genomic.fna","GCF_009906835.1_ASM990683v1_genomic.fna",0.586680605,"TypeIE","TypeIE"
